year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,114.96111871,116.26599339,109.23232188,124.08222598,161,159,blabi
1967,117.04057662,118.21255274,111.0394129,125.82260178,188,186,blabi
1968,121.89094532,119.56192147,113.10860625,127.01234373,192,191,blabi
1969,124.05660194,119.56040789,113.42999464,126.75644408,183,182,blabi
1970,114.51517803,118.29294807,111.9842961,125.13477253,200,200,blabi
1971,115.4301344,116.94156903,110.86416734,123.63769458,204,204,blabi
1972,118.55699816,115.88377117,110.07295336,122.10269311,194,194,blabi
1973,109.45480267,115.02266593,109.91935212,121.42233623,186,186,blabi
1974,116.45298728,114.50111149,109.63093331,119.78597104,205,203,blabi
1975,116.76136089,113.2912103,107.93180385,117.80020685,236,236,blabi
1976,111.45329845,110.74388365,105.57281028,114.90960202,241,239,blabi
1977,106.82972815,107.30753279,102.45853112,111.21601367,260,258,blabi
1978,104.15558271,103.81735352,98.824889026,107.50346582,280,280,blabi
1979,95.134961005,101.05124734,96.289582142,104.75485774,295,295,blabi
1980,101.40491787,99.452656604,95.039132994,102.89098762,288,288,blabi
1981,103.72351247,98.046911766,94.305086211,101.07011332,287,287,blabi
1982,89.99592882,96.361536108,92.537970419,99.132503095,267,266,blabi
1983,97.126739312,95.1377147,91.905604356,97.869549433,258,257,blabi
1984,95.801754674,93.935894972,91.177136009,96.394592287,228,227,blabi
1985,92.351991974,92.545837643,90.112930971,94.793201019,219,218,blabi
1986,90.480147674,91.371570942,89.270305976,93.70054024,209,209,blabi
1987,86.940787642,90.830329416,88.813569534,93.135733428,202,202,blabi
1988,92.372344052,90.831865636,88.875302417,93.28930044,197,196,blabi
1989,94.336728689,90.296779861,88.207802389,92.496383995,205,204,blabi
1990,90.612806808,88.564466353,86.548348099,90.735614197,204,203,blabi
1991,81.431885097,86.284550816,84.130283354,88.495500332,212,212,blabi
1992,84.062322554,84.596331442,82.152527392,86.993647346,210,210,blabi
1993,86.124518935,83.451765592,81.036393387,85.828047643,226,225,blabi
1994,82.247599768,82.516466956,80.140136439,84.89074851,1703,1588,blabi
1995,81.425210062,82.112082515,79.810196112,84.723225391,1864,1737,blabi
1996,84.050222179,82.620660989,80.29361815,85.339117371,2023,1885,blabi
1997,79.446390454,84.318974357,81.83521222,87.083492308,2291,2143,blabi
1998,87.044293228,87.494329491,84.96480757,90.360312453,2399,2249,blabi
1999,93.88109374,91.205924497,88.393627736,94.222771612,2498,2365,blabi
2000,96.146880901,94.247737429,91.343356736,97.197419626,2380,2268,blabi
2001,,,,,,,blabi
2002,96.860676883,97.403746545,94.506503455,100.65960358,2125,2015,blabi
2003,98.915558423,98.171002557,95.054746254,101.31239995,2236,2134,blabi
2004,97.307794491,98.79838938,95.763159089,102.03378624,2437,2317,blabi
2005,100.12565401,99.625365874,96.400265727,102.90731612,2778,2663,blabi
2006,97.902193338,100.6784037,97.254701127,103.75959778,3226,3050,blabi
2007,102.67593775,101.8336587,98.531400765,104.9274474,3662,3455,blabi
2008,106.19152537,102.31960383,99.136982013,105.45165743,3364,3165,blabi
2009,100.54307374,101.66093324,98.54730706,104.83903179,3350,3141,blabi
2010,102.0755813,100.39159564,97.408840443,103.58904754,3256,3062,blabi
2011,95.707997596,99.117489356,96.092898886,102.29323878,3065,2927,blabi
2012,99.346955453,98.591042821,95.404441824,101.7968191,3387,3205,blabi
2013,96.54533464,98.821743115,95.612929434,102.19939389,3579,3382,blabi
2014,101.30395331,99.642449067,96.414464611,103.07535217,3460,3335,blabi
2015,100.91940003,100.44228648,97.159624742,103.86173014,3513,3387,blabi
2016,98.992806032,100.9319393,97.532230927,104.29056651,3596,3468,blabi
2017,104.34782599,100.93028937,97.496892928,104.24897276,3684,3546,blabi
2018,100.05017937,100,96.566922773,103.41078565,3703,3568,blabi
2019,97.009060371,98.485363499,94.853705133,101.95152431,3583,3426,blabi
