year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,74.754635334,75.366930739,69.767117497,80.928699452,155,153,bluti
1967,78.110206895,77.34127487,72.129252084,82.792027973,182,175,bluti
1968,79.998340622,79.122895947,74.197664858,84.265001971,186,177,bluti
1969,79.717557042,80.7812134,75.930282874,85.169366934,176,172,bluti
1970,81.935334988,82.59842025,78.05488728,87.047313938,196,191,bluti
1971,85.941240336,84.588523403,80.233803074,89.076721159,200,195,bluti
1972,85.721291307,86.608736769,82.567781733,91.236061969,188,182,bluti
1973,86.140949931,88.772390202,84.745148069,93.266246007,179,176,bluti
1974,92.232839785,90.872464022,86.788170791,95.81283867,198,192,bluti
1975,95.859289305,92.034978589,87.91998927,96.905778126,228,226,bluti
1976,89.631927702,91.826115005,87.515750298,96.608832837,233,230,bluti
1977,94.199340432,90.771637782,86.448464042,95.598091839,252,249,bluti
1978,87.354491433,89.296152091,85.383340573,93.740380828,269,263,bluti
1979,83.410461176,88.459518666,84.735071422,92.861118565,283,270,bluti
1980,92.353025503,88.698746974,85.346008625,92.736992153,277,270,bluti
1981,92.828243029,89.224542214,85.788992195,93.00400122,278,270,bluti
1982,82.591251775,90.121496263,86.821263048,93.624548148,259,248,bluti
1983,94.195062044,92.173405298,89.178081729,95.295936381,251,242,bluti
1984,94.115631198,94.538891611,91.573109369,97.322986018,223,216,bluti
1985,101.79875743,96.385409543,93.698860415,98.823551152,218,212,bluti
1986,94.576418637,97.261366772,94.66075591,99.54514923,209,199,bluti
1987,94.793728984,97.945560188,95.555883671,100.16759923,199,194,bluti
1988,99.215746507,98.654291337,96.43906569,100.94427888,195,190,bluti
1989,102.94407161,98.62653847,96.447787411,100.79297954,206,199,bluti
1990,97.405034073,97.327618969,95.188961618,99.501761126,205,202,bluti
1991,95.95259289,95.411031748,93.284271292,97.661283191,212,209,bluti
1992,92.235759087,93.873199275,91.861680508,96.361136202,209,206,bluti
1993,91.952354462,93.750763943,91.61728634,95.973587623,225,223,bluti
1994,91.783882836,95.562434859,93.317065022,97.940084708,1666,1459,bluti
1995,96.620658513,98.990329063,96.347856453,101.32903536,1824,1610,bluti
1996,107.95773684,102.43727078,99.738329388,104.86000628,1978,1780,bluti
1997,110.90801324,103.79278459,100.95041527,106.3097579,2241,2058,bluti
1998,100.97138428,102.72627346,99.856491315,105.5044972,2349,2126,bluti
1999,99.185780196,101.04522271,97.984617635,103.8390029,2444,2217,bluti
2000,96.061254183,100.4400994,97.194406338,103.14960046,2331,2083,bluti
2001,,,,,,,bluti
2002,102.79088396,104.33243895,101.23455322,106.71950123,2080,1885,bluti
2003,109.03043767,107.44636373,104.21354516,109.89032751,2191,2014,bluti
2004,109.59920578,109.85056717,106.81218423,112.69448094,2385,2180,bluti
2005,115.04022908,110.65431232,107.50044899,113.55973801,2725,2517,bluti
2006,112.40075126,109.2962374,106.25962493,112.28720341,3143,2863,bluti
2007,105.75170949,106.56821756,103.56747819,109.38457111,3550,3249,bluti
2008,100.00200093,104.32282409,101.38735855,107.04265705,3268,2945,bluti
2009,94.344445313,104.11524512,101.2254235,107.04762431,3254,2901,bluti
2010,112.80207975,105.65158017,102.50097957,108.59584356,3172,2890,bluti
2011,113.29194017,106.23267114,102.84255493,109.33321558,2998,2794,bluti
2012,102.78627038,104.87707561,101.46463598,107.92226092,3290,2990,bluti
2013,99.553993179,102.81244164,99.544919006,105.72490144,3482,3138,bluti
2014,101.27525717,100.9637226,97.645907342,104.12515805,3370,3068,bluti
2015,103.7840696,99.273091906,96.056592043,102.45671247,3425,3198,bluti
2016,96.070839043,97.848498246,94.87069223,100.90687124,3520,3235,bluti
2017,91.021828799,97.897751642,94.986323784,100.83947562,3602,3317,bluti
2018,102.83934571,100,97.235243826,103.12266545,3606,3309,bluti
2019,104.71207113,102.98008351,99.547939845,106.44464251,3479,3226,bluti
