year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,163.11431574,161.53627012,143.20541044,179.07678627,119,92,bullf
1967,167.30214817,157.41622891,139.44852606,172.97921737,139,111,bullf
1968,142.3276186,154.58025107,136.50291333,168.06507274,139,106,bullf
1969,150.78707799,156.12303766,138.77519262,171.23862942,144,113,bullf
1970,156.16913261,162.18953149,144.85545295,178.0920063,162,118,bullf
1971,179.56485614,170.29627482,152.79181311,186.69375821,169,130,bullf
1972,184.19749633,176.62301639,158.46542584,193.0250802,156,126,bullf
1973,169.57071716,179.91232541,162.6682777,194.31078938,149,122,bullf
1974,183.15051201,180.84571086,164.00850227,195.85483153,169,133,bullf
1975,181.48137695,178.01565127,162.26392781,192.33893458,198,166,bullf
1976,174.0381763,170.17009403,154.84221265,184.33084469,210,178,bullf
1977,171.27044921,157.3862705,143.38367721,170.87245416,227,194,bullf
1978,125.25732984,141.91901916,130.24231767,153.66389936,239,185,bullf
1979,120.03056338,128.85899084,118.66190847,139.08083225,250,193,bullf
1980,127.13934834,119.21055101,110.74937278,128.06183594,244,183,bullf
1981,120.76452017,111.05577185,104.20752789,118.04827906,250,195,bullf
1982,88.449312737,104.63929059,98.154762224,111.12236724,227,156,bullf
1983,102.35045556,102.23417894,95.52739735,108.69550539,217,164,bullf
1984,99.9548427,102.46882681,95.530458847,109.81533612,188,130,bullf
1985,114.94681263,102.76155832,95.791151666,110.26582827,174,129,bullf
1986,100.18289355,100.67968265,93.934262346,108.08830604,170,120,bullf
1987,96.90695672,96.824504352,90.574493361,103.55644344,165,113,bullf
1988,90.052708695,92.479396083,86.940106664,98.332157486,161,107,bullf
1989,88.679530492,88.755652404,83.323914743,94.377479496,165,113,bullf
1990,85.366397571,86.120988838,81.101605804,91.924376777,163,116,bullf
1991,83.829455738,84.811856041,79.510290113,91.027493479,168,110,bullf
1992,86.158481689,84.794221592,79.536971603,91.759259065,171,115,bullf
1993,80.471977617,85.813790536,80.41635501,93.665290771,180,120,bullf
1994,94.118188672,87.558734914,81.552760093,96.054421796,1292,507,bullf
1995,76.885201691,88.825308691,82.812096874,97.177131467,1426,468,bullf
1996,102.43708473,89.003949062,82.767097095,97.117339606,1526,591,bullf
1997,96.032757273,85.642822424,79.601027062,92.976001967,1737,665,bullf
1998,69.484893396,79.752160006,74.348561688,87.903013493,1816,568,bullf
1999,69.164821917,75.309535355,70.204209581,83.1192702,1898,563,bullf
2000,75.033810272,73.849426049,68.497135066,81.477587435,1811,544,bullf
2001,,,,,,,bullf
2002,74.519684148,76.988086744,70.467638351,84.500926025,1626,458,bullf
2003,81.683790624,79.917294831,73.204895303,87.509332649,1701,546,bullf
2004,83.202857943,82.045383778,75.332086053,89.887921193,1824,567,bullf
2005,94.449593178,82.33892966,75.222389024,89.912665126,2086,734,bullf
2006,70.250206114,80.992368205,73.987209118,88.195510741,2338,642,bullf
2007,82.02048439,80.778185871,73.952600083,88.387053499,2600,787,bullf
2008,80.060932983,82.504001951,75.700783783,90.270525675,2427,703,bullf
2009,80.790134163,86.43233876,79.395410407,94.378965705,2442,745,bullf
2010,88.374655089,91.885458283,84.440230982,100.61897068,2386,779,bullf
2011,114.18474864,96.293270684,88.319629797,106.82172862,2289,850,bullf
2012,102.28301911,96.966666342,88.776856939,106.1172299,2473,893,bullf
2013,79.004121814,96.08440104,88.285107193,105.63245274,2595,776,bullf
2014,95.392762773,97.289914011,88.954248692,106.00415133,2533,888,bullf
2015,104.18063699,99.920695244,90.970446766,109.04660972,2572,906,bullf
2016,99.240325185,101.96019349,93.055561596,111.96930256,2660,981,bullf
2017,116.43355266,102.21605072,92.703269984,112.50291774,2699,1091,bullf
2018,89.248050337,100,90.947687857,109.98719339,2670,979,bullf
2019,98.589388348,97.503048438,88.071124708,107.64526236,2586,963,bullf
