year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,37.29472177,38.580728399,32.774816002,45.61864538,102,73,carcr
1967,41.823782601,42.02170538,35.946084375,49.102928086,120,92,carcr
1968,46.198566672,44.937626654,38.912584353,51.925909355,127,100,carcr
1969,48.925360629,46.83456906,40.352025442,53.849311105,122,101,carcr
1970,48.994735649,47.678823466,41.666016731,53.528748628,140,110,carcr
1971,42.683818197,48.162501602,41.870373494,54.107629318,143,110,carcr
1972,52.877295585,49.102163205,42.833413967,55.37484317,141,121,carcr
1973,47.783779836,50.198192154,43.744938009,56.814985658,135,107,carcr
1974,52.725329916,51.629153037,45.22196253,58.735875397,148,122,carcr
1975,52.79656096,53.256058382,46.742137549,60.233755896,170,130,carcr
1976,55.060134284,55.040155332,48.167779742,62.006365317,182,150,carcr
1977,57.358662766,56.894800607,50.855621847,64.164886838,200,165,carcr
1978,56.09430239,58.738942566,52.512463596,65.44537463,214,180,carcr
1979,63.09531369,60.440495779,54.387867013,67.011792834,218,185,carcr
1980,62.943598607,61.372445398,55.740038462,67.576907287,211,184,carcr
1981,61.174783692,61.541096317,56.17993714,67.364507751,215,180,carcr
1982,60.517340741,61.521541134,56.571501676,66.492994031,203,174,carcr
1983,61.096809337,61.829274449,57.443359936,66.084332768,193,167,carcr
1984,62.160957025,62.640395257,58.90720216,66.259477412,171,140,carcr
1985,63.611358609,63.838186804,60.789232571,67.359211818,164,132,carcr
1986,67.412908982,65.1150533,62.164014022,68.223417054,163,135,carcr
1987,64.300250957,66.223846636,63.109538124,69.333589912,162,133,carcr
1988,68.503907499,67.384557212,64.488414081,70.584758663,156,132,carcr
1989,68.878163249,68.533404046,65.237139967,71.583880959,160,138,carcr
1990,70.278633434,69.798912845,66.152050052,72.869477922,159,133,carcr
1991,66.744839045,71.507193324,67.845301785,74.401203708,171,143,carcr
1992,76.115559301,73.818576883,70.024434852,77.156171794,171,139,carcr
1993,81.153181806,75.813773763,71.835878394,79.355147309,176,149,carcr
1994,71.648107417,77.221356798,72.914303364,80.697137526,1349,1224,carcr
1995,78.050941278,78.969515817,74.612247715,83.021184402,1496,1351,carcr
1996,85.108561338,80.800703208,76.384122558,85.236418912,1588,1444,carcr
1997,81.28461023,82.129645254,77.756765383,86.23975471,1825,1670,carcr
1998,80.795374255,83.397288501,79.166532555,87.925719927,1873,1720,carcr
1999,86.178181481,84.93350413,80.390426488,89.668666456,1938,1801,carcr
2000,86.708299888,86.404176703,81.156980346,91.772996465,1867,1728,carcr
2001,,,,,,,carcr
2002,91.033260651,88.687185818,81.969595963,94.849118378,1645,1528,carcr
2003,87.724901839,89.689428901,83.936349379,95.664371797,1733,1622,carcr
2004,88.874525102,91.334922893,86.857981713,96.478424628,1878,1782,carcr
2005,89.817612893,93.769868979,88.715754341,99.330499574,2170,2052,carcr
2006,106.16995528,96.094971311,89.699025194,104.03183426,2605,2440,carcr
2007,95.096403166,96.867270043,90.542264909,104.67289134,2912,2765,carcr
2008,94.25871048,96.937820852,90.584987532,103.69992975,2697,2530,carcr
2009,96.767107682,97.178406151,91.151906053,103.80214836,2706,2555,carcr
2010,99.304939417,97.605043987,91.550908086,104.39810031,2676,2539,carcr
2011,97.081166385,98.059634727,92.141403826,104.47931362,2477,2349,carcr
2012,98.450995297,98.742995543,93.41366599,104.85752044,2758,2613,carcr
2013,99.443056934,99.689683265,94.710944529,105.74440172,2816,2651,carcr
2014,99.839499464,100.77548362,95.77372051,106.47960654,2678,2564,carcr
2015,101.82898763,101.72926095,96.775655195,107.32433029,2775,2653,carcr
2016,105.13006983,102.02174013,97.146352293,107.23401561,2816,2704,carcr
2017,100.99913593,101.29423706,96.079635835,106.43977716,2883,2777,carcr
2018,98.553023417,100,94.474029701,105.744634,2915,2787,carcr
2019,98.660419116,98.624185998,92.331594684,106.58334646,2801,2696,carcr
