year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,109.73408734,109.55510218,101.34655567,118.58102984,155,151,chaff
1967,107.15034055,106.50674168,98.869630671,114.8138613,180,176,chaff
1968,105.3412751,103.57233022,96.513587512,111.20513893,186,181,chaff
1969,98.034076852,101.15397784,94.297981528,108.29562821,179,173,chaff
1970,98.010594296,99.958949182,93.650297142,107.46083911,193,183,chaff
1971,102.5096259,99.854640428,93.870789136,107.10336648,197,189,chaff
1972,102.24535103,100.16054448,95.048647136,106.76452464,186,177,chaff
1973,96.433208685,100.90979244,96.338302259,106.82154805,179,173,chaff
1974,104.16223458,102.56793058,98.361640602,107.86603876,197,191,chaff
1975,104.46497949,104.65659307,100.12229491,109.44828561,228,222,chaff
1976,107.65965306,106.81079971,102.80027408,111.90607679,239,229,chaff
1977,110.70948442,108.77681201,105.19534356,114.0079544,256,244,chaff
1978,107.7766932,110.64167323,107.08423726,116.08247468,269,259,chaff
1979,110.83871168,112.8715621,109.02876634,118.46474229,282,271,chaff
1980,118.71317429,115.16569697,110.97715658,120.93255819,280,272,chaff
1981,119.61103797,116.72909504,112.81933974,122.07765672,281,272,chaff
1982,113.20735415,117.76454339,114.00814096,122.68141612,262,255,chaff
1983,118.49334489,119.17265491,115.59824534,123.94426061,251,245,chaff
1984,122.8599538,120.79078148,117.1166023,125.26318631,221,218,chaff
1985,123.40753127,122.11092966,118.46598651,125.92481641,217,213,chaff
1986,121.25149571,123.21518151,119.63699717,126.95829736,208,204,chaff
1987,121.36560107,124.53671232,121.18483992,128.31689724,201,199,chaff
1988,128.17240231,125.86320534,122.63346111,129.5779811,196,193,chaff
1989,130.98926255,126.16371124,123.14055077,129.17045418,205,203,chaff
1990,124.93471103,125.12986453,122.16666157,127.82344289,204,202,chaff
1991,117.8857235,123.87417119,121.17301449,126.32936085,212,211,chaff
1992,124.9520822,123.38019403,120.78196642,125.57995634,209,205,chaff
1993,126.59661169,123.13361009,120.53766705,125.51836049,225,222,chaff
1994,121.35660011,122.86969519,120.10135087,125.44970571,1721,1592,chaff
1995,118.89130445,123.24664392,120.18800542,125.98483271,1880,1747,chaff
1996,129.39464295,124.46190017,121.19576637,127.32286134,2046,1893,chaff
1997,122.55870569,125.78395754,122.40572263,128.82747994,2315,2146,chaff
1998,129.40465126,127.28743249,123.49394699,130.73824385,2415,2268,chaff
1999,127.78889504,128.65875101,124.80432059,132.33856671,2500,2348,chaff
2000,131.4016131,129.87451881,125.902517,134.0211001,2379,2249,chaff
2001,,,,,,,chaff
2002,130.54915123,132.1371359,127.93161268,135.88031883,2127,2007,chaff
2003,133.16098848,133.85014059,129.49858804,137.68136631,2241,2125,chaff
2004,134.26495248,135.92520851,131.54448298,139.76246271,2439,2320,chaff
2005,140.4007185,137.8278582,133.30341673,141.73256679,2779,2661,chaff
2006,140.89485275,138.70798176,134.26074764,142.76516999,3227,3083,chaff
2007,140.13096844,138.4332005,134.29212803,142.32988764,3680,3508,chaff
2008,133.49061457,137.73482876,133.41282379,141.88986155,3383,3193,chaff
2009,134.16813376,137.65824239,133.34957862,141.47111907,3371,3177,chaff
2010,140.55868044,138.00356567,133.66600155,141.89892493,3273,3122,chaff
2011,138.26109419,137.53264693,133.3857549,141.69012866,3071,2941,chaff
2012,138.15675107,135.50219207,131.27521443,139.49610415,3405,3248,chaff
2013,130.94300082,131.7078621,127.57449031,135.27816856,3607,3428,chaff
2014,124.02184189,126.64737416,122.28920539,129.96916286,3469,3318,chaff
2015,125.85050353,120.6173908,116.55019029,123.9196635,3526,3368,chaff
2016,112.40380953,113.51425404,109.75608415,116.52637414,3609,3430,chaff
2017,102.00379963,106.37521433,102.89667391,109.27583015,3707,3489,chaff
2018,100.99046356,100,96.616710603,103.05185429,3728,3458,chaff
2019,94.848741202,94.020284602,90.385253898,97.226657016,3609,3316,chaff
