year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,56.755038076,56.394543381,37.544470626,82.976710391,85,58,coati
1967,63.273634101,61.949162169,43.148030302,88.30581522,100,74,coati
1968,63.444880998,67.735156872,48.763636142,92.295670209,105,68,coati
1969,79.94516568,74.050753905,54.11001766,98.511025913,106,77,coati
1970,71.722838548,80.534558263,60.394285848,103.79718883,125,83,coati
1971,93.286715513,87.520187147,67.1999043,110.05203432,131,96,coati
1972,90.952302031,93.77643715,73.796725521,115.26126166,124,97,coati
1973,101.83300374,98.830450947,81.29854595,119.87898692,121,96,coati
1974,102.55551625,102.0416857,86.138011784,118.68062637,135,101,coati
1975,100.85209211,103.41314358,89.32299081,117.52828516,153,114,coati
1976,104.31675793,103.11347978,90.143479591,115.70798334,160,129,coati
1977,105.78955192,100.74561503,88.681392474,111.38986569,166,134,coati
1978,100.34623046,96.396526625,85.242610972,105.69083493,174,135,coati
1979,79.546671448,91.833638766,81.627713609,101.17243297,189,135,coati
1980,88.840794204,89.39201339,79.347931695,98.237451328,193,151,coati
1981,94.759758508,88.371447182,78.825520414,97.195452939,199,161,coati
1982,80.877403621,87.534103996,79.337836158,96.135805597,181,129,coati
1983,94.05452002,86.859277275,79.246205904,94.285344066,168,134,coati
1984,84.526957593,85.460899844,78.296383159,91.911633312,155,116,coati
1985,88.499096112,83.858787205,77.442063032,89.560292142,149,112,coati
1986,74.453446325,83.110138888,76.302396673,88.46466623,140,101,coati
1987,84.102874599,84.867313315,77.435846533,90.729614342,134,100,coati
1988,86.22149734,88.742485438,81.349552807,95.366309916,128,93,coati
1989,96.876691028,93.403373291,85.827393388,100.80555882,136,102,coati
1990,97.600363014,97.02839207,89.197940192,104.32222199,138,110,coati
1991,103.35580204,98.588404313,90.855322392,105.90195657,145,122,coati
1992,99.502997156,97.752797614,89.807818257,105.17328008,145,108,coati
1993,95.184324807,95.610206414,87.492275484,101.91767027,151,123,coati
1994,89.109698621,94.001776528,85.639608179,102.07106618,1259,543,coati
1995,87.179531858,94.447183025,85.652393541,102.87177392,1385,540,coati
1996,98.371277019,96.657400607,87.49132762,106.58406171,1513,623,coati
1997,109.508777,98.203841195,88.754128794,108.24851195,1717,671,coati
1998,100.21855572,97.380604198,87.724404371,106.59339581,1812,711,coati
1999,88.145447969,95.783908197,85.779699397,104.38197568,1873,728,coati
2000,88.757604613,96.006367002,85.927198296,105.12441207,1793,697,coati
2001,,,,,,,coati
2002,109.5894004,100.56974865,90.28607607,110.82488101,1653,692,coati
2003,104.94713367,100.71295969,90.722483051,110.92509358,1737,699,coati
2004,92.747545076,99.384941159,88.846928614,109.77218719,1881,766,coati
2005,103.98567403,98.501878807,87.809512817,109.35483786,2089,874,coati
2006,87.090892003,98.863256674,88.770392822,109.195126,2365,963,coati
2007,103.26842549,101.50245452,90.961144745,111.32686815,2684,1119,coati
2008,112.20694746,104.80966826,93.348882014,114.65016112,2491,1093,coati
2009,98.850102114,107.35348347,95.484435225,117.24294033,2502,1133,coati
2010,111.84355912,109.21859332,97.193168539,120.37258605,2425,1177,coati
2011,116.65049112,108.89797778,96.679747299,120.10529252,2301,1046,coati
2012,110.11397393,105.53141867,93.739120545,116.45279637,2508,1145,coati
2013,88.885647183,100.79426145,89.901806602,110.88869299,2673,1131,coati
2014,100.89051041,97.302240451,87.28824497,107.53219339,2546,1126,coati
2015,97.592511881,95.05285614,85.803390066,105.40794378,2591,1197,coati
2016,89.146832808,94.374282921,85.292759734,105.14277711,2651,1190,coati
2017,94.887830163,96.159921793,86.947238691,107.27723485,2703,1283,coati
2018,100.54844094,100,89.804878403,112.01080006,2698,1379,coati
2019,107.24899175,104.83672348,93.977806598,117.18237367,2618,1322,coati
