year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1971,15.523311227,16.236375363,7.6525152002,26.039552356,76,22,coldo
1972,28.721207637,27.33362045,18.719777664,38.073788971,87,33,coldo
1973,37.179336807,38.215040956,29.012749256,48.598040152,88,38,coldo
1974,46.680367226,49.001871964,38.850312897,58.579979554,100,49,coldo
1975,60.054754151,59.436323748,48.494872799,70.175346343,122,68,coldo
1976,69.870303456,68.536166708,57.03179271,79.6387397,133,80,coldo
1977,78.406674451,75.430141183,63.353545204,87.354552561,149,96,coldo
1978,81.952977269,79.913806778,68.873795819,92.201859799,160,103,coldo
1979,78.520065541,82.923473579,71.398195399,95.433126333,162,97,coldo
1980,81.678510481,85.897893561,75.049508111,99.225612673,154,93,coldo
1981,89.129830103,88.798026481,77.157669198,103.14357659,158,96,coldo
1982,94.780194178,90.020786725,78.371710862,104.97046563,154,91,coldo
1983,93.125783449,88.102495202,78.28994599,101.66282893,148,96,coldo
1984,83.784350371,83.400613419,75.199678149,96.554122944,136,90,coldo
1985,74.029411804,78.156724155,70.325274459,90.82145928,132,82,coldo
1986,71.949746344,74.793900956,66.358141416,87.485449816,129,83,coldo
1987,74.043845615,74.318957584,65.69185792,86.301592128,121,75,coldo
1988,71.744523974,76.560657403,67.735347597,87.570009539,122,73,coldo
1989,85.633929217,80.693694419,71.121662788,90.593255707,125,82,coldo
1990,86.346496955,84.802782591,76.614330482,92.758502389,121,75,coldo
1991,87.587369434,88.20365527,80.951173086,94.820994695,127,77,coldo
1992,95.797327726,90.995878087,85.182396216,96.388266505,124,80,coldo
1993,87.140512649,93.568695831,88.112407853,98.51923795,126,77,coldo
1994,98.156981329,97.219308185,91.293485086,101.8935174,1371,808,coldo
1995,100.69426192,101.75370149,95.287186578,107.35828478,1516,896,coldo
1996,107.58671901,106.69886595,99.992434828,112.84177034,1645,968,coldo
1997,111.19961572,111.40169648,103.85961415,117.7725511,1891,1140,coldo
1998,117.47565091,115.38004948,108.23761944,121.31116,1989,1177,coldo
1999,119.80542608,118.31417486,110.7368644,124.51121377,2075,1254,coldo
2000,118.54961334,120.60639448,112.93631103,127.21199079,1993,1215,coldo
2001,,,,,,,coldo
2002,123.17996275,126.16447174,118.09754025,133.16074295,1833,1108,coldo
2003,127.64819301,129.74928628,121.55681347,136.70659425,1932,1175,coldo
2004,137.86860459,132.78485375,124.19152832,139.6736899,2091,1320,coldo
2005,135.48737866,133.7235775,125.14165918,140.77327649,2397,1519,coldo
2006,135.65721745,132.51087361,123.8852089,139.38860339,2725,1718,coldo
2007,122.20911052,130.23334607,121.99135774,136.91286952,3012,1845,coldo
2008,130.01511149,128.44981377,120.20686305,135.02321719,2773,1733,coldo
2009,127.34012816,126.67453151,118.76469319,133.41632363,2769,1706,coldo
2010,124.56779788,124.33981952,116.45539187,131.06947553,2734,1706,coldo
2011,123.11547823,121.21065415,113.67560985,127.96010779,2632,1623,coldo
2012,116.10337104,117.31199998,109.85522308,124.05983314,2844,1688,coldo
2013,115.2478957,113.16445741,105.9994478,120.16021176,2962,1789,coldo
2014,105.7700604,109.22544628,102.1083402,116.21629175,2895,1707,coldo
2015,106.95756953,106.22636607,99.579589315,112.92560371,2948,1745,coldo
2016,100.48896158,104.07685,97.527693644,110.57492324,3007,1738,coldo
2017,106.15306053,102.37905042,95.690309503,108.60467667,3054,1781,coldo
2018,102.11414641,100,92.819199766,105.73761731,3023,1801,coldo
2019,94.691786142,96.823761034,89.696248332,103.21299117,2913,1667,coldo
