year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,154.78202472,158.45499771,147.70202235,171.89351674,160,159,dunno
1967,159.87853673,157.20921626,146.82524799,168.61237324,187,182,dunno
1968,164.45603585,154.67842107,144.87313607,165.08626874,190,183,dunno
1969,148.68752626,150.9346885,140.41001192,162.63776329,179,175,dunno
1970,138.0314088,148.67290567,138.02008011,159.12238137,195,183,dunno
1971,146.53817177,149.93428875,139.41687404,160.85834445,200,192,dunno
1972,157.33198202,153.56158658,143.0728546,163.99773292,186,177,dunno
1973,156.21260448,157.04041328,146.53965486,167.78741715,177,175,dunno
1974,159.5581604,158.57673942,148.19383941,168.4838864,196,190,dunno
1975,165.6162398,156.47211168,146.44293281,165.29767877,230,224,dunno
1976,152.12953107,149.84027838,141.34633075,157.53952218,239,227,dunno
1977,136.33264489,140.43866887,133.40606493,147.068975,255,243,dunno
1978,129.07905796,130.96649432,124.80393559,136.49237895,273,264,dunno
1979,115.97963097,123.05995996,117.85608452,128.12605809,286,275,dunno
1980,117.07323864,117.11221541,112.00823907,122.40570388,278,268,dunno
1981,124.51959386,111.50960994,106.11064636,117.21224384,278,267,dunno
1982,96.096797975,105.02155496,98.827595285,110.72144846,260,241,dunno
1983,100.77530379,99.275373504,92.979759263,104.50328745,251,236,dunno
1984,96.655880265,94.49258651,88.866890093,99.442442963,221,210,dunno
1985,87.766368783,90.844176773,85.37443466,95.313707807,212,199,dunno
1986,90.227496365,88.970541139,84.090067956,93.443183925,200,188,dunno
1987,81.789035009,88.922199849,84.842138065,93.415872786,195,180,dunno
1988,90.176052285,90.405794404,86.02727589,94.883104241,190,172,dunno
1989,100.71046472,91.303104049,86.996509747,95.823442352,197,184,dunno
1990,97.379478212,89.58582125,85.305489545,93.736214085,197,185,dunno
1991,76.019304592,86.22401383,82.279165576,90.204937276,204,193,dunno
1992,80.141521833,84.203145025,80.884178647,87.930368504,200,175,dunno
1993,85.66547002,84.048136021,80.555086052,87.748372564,214,193,dunno
1994,85.621443529,84.636292911,80.917363919,88.261452978,1655,1295,dunno
1995,89.230788664,85.070022971,81.139263743,88.537166531,1815,1439,dunno
1996,85.066459387,85.09652551,80.870473395,88.716784012,1969,1554,dunno
1997,81.431712618,85.630557507,81.374375493,89.39091272,2241,1734,dunno
1998,85.906108169,87.576370551,83.138195326,91.646410911,2348,1852,dunno
1999,91.887337709,90.611109453,86.141288082,95.169681598,2444,1971,dunno
2000,95.601921017,93.774759111,88.945050817,98.305281556,2330,1889,dunno
2001,,,,,,,dunno
2002,97.028489325,98.614688133,93.144236618,103.64727195,2088,1679,dunno
2003,105.37260639,100.2242547,94.690925163,105.608369,2198,1820,dunno
2004,95.918765414,101.18036003,95.793297148,106.69149444,2392,1918,dunno
2005,102.70699798,102.29022191,97.111995705,107.62152166,2726,2257,dunno
2006,104.80695978,103.33394701,98.191401054,108.78925364,3145,2573,dunno
2007,104.61607228,103.95089155,98.76099814,109.7057091,3545,2863,dunno
2008,102.34511279,104.24310569,99.250280513,109.96165748,3263,2621,dunno
2009,103.58600381,104.46097103,99.493347979,109.64013925,3262,2635,dunno
2010,110.47570355,104.33725776,99.382494458,109.41564291,3167,2613,dunno
2011,98.307234894,103.65387043,98.536221783,108.90385978,3008,2460,dunno
2012,104.78364532,103.40897108,98.190116989,108.76883531,3298,2682,dunno
2013,101.55377914,103.68028278,98.359477343,108.93561257,3487,2824,dunno
2014,103.52186017,104.41453325,98.937891854,109.89511946,3379,2792,dunno
2015,106.66589041,105.02609316,99.165016048,110.64245359,3438,2845,dunno
2016,105.89802194,104.66014306,98.818953771,110.03401905,3524,2977,dunno
2017,105.24050883,102.91993894,97.184859235,108.31347482,3595,3031,dunno
2018,98.092829296,100,94.247396476,105.10137647,3601,2971,dunno
2019,95.944675461,96.666278328,90.999569815,102.23661538,3480,2876,dunno
