year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,45.174572204,45.807532866,38.902747128,57.217468346,85,59,goldf
1967,45.393458528,42.689384999,36.079221652,53.059966484,100,72,goldf
1968,41.278956878,39.498675706,33.691118009,48.824329189,107,79,goldf
1969,34.303304212,36.998569496,32.355248459,44.899822171,105,65,goldf
1970,36.27906471,36.425269755,31.799180076,43.832338415,110,67,goldf
1971,33.586602992,38.408118688,33.829698755,45.910673374,120,71,goldf
1972,41.042630131,43.038953816,37.882229621,51.192840821,119,80,goldf
1973,52.147344791,48.987922303,43.519553382,57.82438556,114,82,goldf
1974,55.318681693,54.28511065,47.812024462,63.901487408,133,93,goldf
1975,60.357428957,57.735184771,50.775035538,68.178064007,152,116,goldf
1976,53.024883309,58.800689179,51.94330094,69.064430827,159,111,goldf
1977,73.26043368,57.325438782,51.035228268,67.396966383,164,138,goldf
1978,43.19484495,52.851642935,47.654012888,61.526074957,176,108,goldf
1979,42.284028821,48.12648741,43.78929795,55.170906387,178,114,goldf
1980,50.823756334,44.004012323,40.20898785,49.951464601,167,121,goldf
1981,39.512498568,39.599549002,36.274669603,44.571989103,166,103,goldf
1982,31.469860206,35.444869577,32.63831081,39.309865339,153,84,goldf
1983,31.217624532,32.237379874,29.668516456,35.715990934,145,83,goldf
1984,34.162908728,29.546158406,26.998651844,32.882616956,125,76,goldf
1985,31.741769921,26.712235638,24.320794374,29.724169068,125,77,goldf
1986,16.072942532,24.567874987,22.297316271,27.319408075,126,47,goldf
1987,20.606226386,25.022787607,22.684310554,27.751524251,123,52,goldf
1988,31.222474023,27.772950897,25.570079772,30.439263023,121,66,goldf
1989,31.887020529,31.007526472,28.349887842,34.034914675,130,69,goldf
1990,38.32740367,33.596448683,30.706617549,36.465761736,127,74,goldf
1991,32.517309454,35.18579154,32.496003189,37.920713243,130,74,goldf
1992,35.530040901,36.55844784,33.687025532,39.058724385,126,77,goldf
1993,37.124254459,38.03479075,35.112803467,40.661372329,136,86,goldf
1994,40.901540767,39.424821078,36.298313516,41.746258194,1278,762,goldf
1995,39.091845164,40.326643259,37.026732801,42.751580972,1422,815,goldf
1996,45.538219582,40.587923229,37.143189303,43.21811949,1518,890,goldf
1997,38.116571755,40.155037307,36.55662852,42.584606841,1753,983,goldf
1998,36.891273709,40.070914847,36.618991021,42.688629311,1792,972,goldf
1999,41.742305602,40.954988222,37.140435273,43.636896912,1858,1048,goldf
2000,42.061563993,42.499862396,38.547176383,45.235465913,1797,1082,goldf
2001,,,,,,,goldf
2002,46.798815544,46.153974905,41.768990652,49.241195433,1614,976,goldf
2003,49.726559267,47.471774973,42.937231456,50.414907631,1698,1045,goldf
2004,48.08225927,48.252304668,44.059759526,51.065503328,1839,1167,goldf
2005,50.55370973,49.057299838,44.674988428,51.844383059,2127,1381,goldf
2006,49.242917155,50.652244163,46.110402376,53.451866597,2524,1580,goldf
2007,50.181531961,54.094957264,49.089953815,57.316745907,2809,1855,goldf
2008,58.004235674,59.908890746,54.304029826,63.096834927,2608,1788,goldf
2009,65.608536277,67.359076011,61.267635533,70.946400254,2613,1865,goldf
2010,77.89978704,74.829304856,68.014003182,78.852184366,2587,1931,goldf
2011,86.198191025,80.316154793,73.07993533,84.931461702,2429,1888,goldf
2012,87.515914841,82.905160045,75.059797678,87.61729503,2667,2100,goldf
2013,78.34602117,83.752456502,75.680483753,88.346316108,2727,2110,goldf
2014,80.009285804,85.269345135,77.516807451,89.978953183,2618,2069,goldf
2015,90.044837453,88.389278129,80.777292631,92.989281206,2719,2256,goldf
2016,90.510237964,92.40092916,84.380954311,97.013372553,2764,2293,goldf
2017,100.74951537,96.557907433,88.366487648,101.45508999,2819,2399,goldf
2018,100.46057087,100,91.416185759,105.56499471,2846,2435,goldf
2019,101.4069698,102.88448898,94.301239575,108.7947211,2732,2353,goldf
