year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,52.355322214,50.508606439,45.279667233,55.997773491,151,139,greti
1967,49.50782502,50.457715157,45.892875028,55.361333708,176,158,greti
1968,51.214826317,51.078930506,46.820530698,55.869665599,181,164,greti
1969,48.641971603,52.801291492,49.057627355,57.197745173,173,157,greti
1970,55.947352016,55.750928382,52.170760257,60.057224606,192,179,greti
1971,59.529998034,58.972210912,55.286494693,63.357118505,198,187,greti
1972,65.755382475,61.322690656,57.523754745,66.128806542,183,177,greti
1973,62.023355755,62.115066747,58.429260976,66.634221433,175,162,greti
1974,61.017022766,61.86931677,58.250179488,65.816079709,196,186,greti
1975,61.647751891,61.318623111,57.928362644,65.164199167,227,214,greti
1976,58.763657315,60.985736307,57.770806221,64.686120947,233,214,greti
1977,62.978597182,61.276780958,57.909115699,64.922276499,250,239,greti
1978,62.38559973,62.14292604,58.634962767,65.884406296,264,252,greti
1979,59.810061628,63.855647231,60.716033404,67.680553494,275,262,greti
1980,67.273688046,66.5953229,63.698385994,70.375478188,274,263,greti
1981,74.065801133,69.529812788,66.746751542,73.231297967,277,267,greti
1982,66.74923818,72.039538508,69.05791666,75.226106989,260,247,greti
1983,76.206510297,74.402710026,71.617196414,77.286082776,251,242,greti
1984,76.190083777,75.914203447,73.567518235,78.695587513,222,212,greti
1985,80.621264726,76.014906774,73.86141733,78.702966471,217,208,greti
1986,72.014295957,74.644206744,72.801569158,77.032134864,208,198,greti
1987,71.841991369,72.80775506,70.823277453,74.866448784,201,193,greti
1988,70.912524111,71.054809569,69.038509983,73.196689881,196,193,greti
1989,72.275956318,69.494409151,67.616968517,71.310385219,206,199,greti
1990,66.273487092,68.318301738,66.51180652,69.855079297,205,199,greti
1991,64.941817675,68.31130345,66.50296694,69.680423849,212,207,greti
1992,69.093640044,69.676566434,67.953531932,71.009335854,209,206,greti
1993,77.310123296,71.548703363,69.880963408,72.932410284,225,220,greti
1994,71.352849775,73.066322808,71.260896352,74.682236948,1662,1335,greti
1995,72.590854164,74.744654464,72.628199726,76.549737589,1823,1482,greti
1996,77.410373522,76.883552495,74.502257491,78.761047273,1975,1604,greti
1997,79.452093373,79.13256233,76.591355648,81.203950616,2233,1838,greti
1998,82.327787016,81.159342702,78.457375144,83.240583073,2337,1962,greti
1999,82.973840927,82.82882332,80.197536009,84.883681516,2430,2061,greti
2000,84.973875841,84.346838636,81.822181543,86.322634864,2317,1980,greti
2001,,,,,,,greti
2002,86.728074324,88.558265393,85.737365536,90.858123224,2067,1749,greti
2003,90.614392726,92.250787453,89.280125334,94.582114913,2177,1886,greti
2004,95.028605724,97.019772743,93.669305582,99.34296237,2373,2060,greti
2005,103.28223633,102.04279808,98.976871863,104.52412775,2708,2412,greti
2006,110.16420352,105.94268422,102.58008226,108.62409918,3125,2761,greti
2007,109.12302688,107.81915027,104.5461969,110.73855989,3527,3102,greti
2008,108.67820921,108.06096783,104.6695608,111.01626617,3253,2861,greti
2009,100.45644389,107.72396378,104.40345337,110.78781303,3243,2782,greti
2010,110.81349022,107.63210887,104.29204197,110.70636641,3160,2785,greti
2011,109.71853645,106.93272674,103.49565303,109.76102849,2989,2704,greti
2012,104.05841473,105.32008095,102.15670628,108.24241849,3281,2881,greti
2013,102.97558441,103.35510312,100.36783687,106.24011062,3473,3069,greti
2014,98.859017011,101.423548,98.31222501,104.21708067,3371,2993,greti
2015,108.05934191,99.556601972,96.380130895,102.47539818,3429,3101,greti
2016,94.719359138,97.643810272,94.357763077,100.65443332,3516,3138,greti
2017,88.482074722,97.467022655,94.113973471,100.49231615,3596,3176,greti
2018,102.75265728,100,96.566763691,103.15468641,3615,3262,greti
2019,106.59668312,103.82066242,100.224255,107.45601756,3486,3165,greti
