year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,297.48771151,292.87056385,248.35489151,337.78328379,124,108,grefi
1967,283.19370445,287.26319479,246.86909498,326.15998574,142,126,grefi
1968,278.27220492,283.22379489,248.1543711,323.5477151,147,123,grefi
1969,291.2081353,280.9118484,248.8793514,321.15148641,145,124,grefi
1970,271.06143865,279.58589677,250.29590697,320.20292952,158,134,grefi
1971,286.29243454,280.34285521,251.49605304,320.35205674,166,139,grefi
1972,275.31594558,283.09524151,255.47342943,318.41314523,161,136,grefi
1973,282.33241114,288.2528039,260.12376624,321.53506158,152,128,grefi
1974,284.99498086,294.16274231,266.11564888,324.14665071,169,134,grefi
1975,326.09306802,296.47673044,266.902342,326.68904294,191,167,grefi
1976,299.90491335,289.98560263,261.69594825,319.62189716,201,172,grefi
1977,266.66798835,277.38969656,250.91148132,304.13735281,213,172,grefi
1978,254.01297476,265.27532939,240.93936438,288.59776672,229,184,grefi
1979,249.39307864,257.29436547,234.32952185,280.09862256,232,181,grefi
1980,256.31570768,252.87429187,229.66690981,275.09071419,223,172,grefi
1981,258.80380828,248.82685268,227.28736086,270.21231237,233,184,grefi
1982,248.99118564,243.01479292,223.60877604,263.89151011,224,177,grefi
1983,230.31741184,236.57339067,217.97975728,255.59855561,214,173,grefi
1984,225.75129897,232.47082075,214.35335192,249.49967124,185,136,grefi
1985,234.73799406,231.96573089,213.85067153,247.67551528,179,136,grefi
1986,233.29215808,234.3024002,218.4146185,248.62781602,176,121,grefi
1987,231.76382263,238.94798142,222.95776119,254.53004819,169,122,grefi
1988,254.46254438,244.8088179,229.07496151,262.61494385,167,123,grefi
1989,252.30202926,249.45816311,234.72066202,267.06036389,176,122,grefi
1990,249.3650956,252.74323646,238.2608159,270.68770109,173,131,grefi
1991,259.56548398,255.68232489,241.02495533,271.08439552,173,128,grefi
1992,253.44366554,258.84352553,243.36989252,273.5777207,167,117,grefi
1993,268.5075972,263.24307506,247.6289111,278.15908142,178,133,grefi
1994,263.03906474,269.07109219,251.39655861,284.5298621,1544,1051,grefi
1995,277.9069338,277.15635061,256.05591556,296.33123236,1704,1200,grefi
1996,284.3035297,287.12590791,264.99762872,307.95577646,1866,1305,grefi
1997,307.95633956,298.21856304,275.07308441,320.70638943,2129,1528,grefi
1998,298.96032357,309.61996205,286.29070706,329.5029025,2233,1569,grefi
1999,316.76138943,322.20551017,299.76126692,343.73057762,2328,1692,grefi
2000,351.60493944,334.30660162,311.09683198,356.11855376,2226,1662,grefi
2001,,,,,,,grefi
2002,340.87458797,350.59317075,324.49480442,372.56052037,2006,1515,grefi
2003,349.55033224,358.39461978,332.52547082,381.61668968,2116,1616,grefi
2004,360.91791401,365.54816602,338.92726062,390.90825966,2298,1803,grefi
2005,373.4631621,367.64822664,340.90112396,394.3193093,2635,2089,grefi
2006,391.43901924,358.85944965,332.39971086,384.17174634,3023,2441,grefi
2007,332.18937262,336.7439731,311.06973621,361.05498965,3364,2575,grefi
2008,300.12712893,307.59358235,284.30528235,332.03148292,3100,2297,grefi
2009,265.76462236,278.15749593,256.50626164,300.58798914,3103,2264,grefi
2010,253.14637827,252.07908195,231.44866642,272.81813292,3036,2192,grefi
2011,222.41645427,229.28830834,210.0979876,246.98085846,2891,2016,grefi
2012,218.39614902,208.72025647,191.88091129,223.98334389,3154,2126,grefi
2013,190.24396704,188.19910376,172.95115756,201.8670555,3302,2138,grefi
2014,162.45081708,167.79658581,153.78108254,180.09995895,3198,1938,grefi
2015,153.32294993,148.41439222,135.44312837,159.66225114,3241,1955,grefi
2016,131.31541919,129.99687017,119.321892,139.95032282,3322,1940,grefi
2017,103.71715371,113.52382158,104.92529055,121.85691461,3362,1728,grefi
2018,101.81363714,100,91.808705515,107.65066508,3344,1679,grefi
2019,91.650236751,88.03545272,80.681696987,94.841174306,3223,1542,grefi
