year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,21.944851189,20.55270856,14.276223009,27.362470807,70,37,grswo
1967,18.255011035,20.551632091,14.949049966,26.43298424,84,37,grswo
1968,20.992496371,20.952359469,15.374621014,26.718871415,80,36,grswo
1969,24.395108276,21.549875665,16.333407374,26.704545252,82,42,grswo
1970,21.271964969,22.186215161,17.156436589,27.466064883,99,48,grswo
1971,22.599913431,23.400492349,18.563352804,28.489701379,102,49,grswo
1972,23.180648002,25.624849669,21.080062783,31.09957333,105,49,grswo
1973,30.15605681,28.856152237,24.406670909,34.259576885,108,58,grswo
1974,33.314495719,32.475746164,27.879147091,36.99435576,120,67,grswo
1975,34.165616923,36.10343427,31.722080752,40.480941019,137,79,grswo
1976,40.440413578,39.539285735,35.038707284,43.815687261,144,91,grswo
1977,43.328639949,42.184541005,37.600785498,46.909936892,161,108,grswo
1978,44.009124381,43.626923956,39.052977573,48.19915309,177,122,grswo
1979,45.409256388,43.842924715,39.351767975,48.78867084,186,130,grswo
1980,43.374730648,43.090287346,38.817064199,47.99642894,178,126,grswo
1981,40.608750186,42.086660872,37.895038326,46.755776245,180,124,grswo
1982,39.879765444,41.631046768,37.795748832,46.091074567,170,111,grswo
1983,38.74065273,42.032917605,38.352198881,46.209073256,170,114,grswo
1984,46.661815514,42.820507869,39.065684637,47.059272864,159,117,grswo
1985,45.979382292,42.787008187,39.099908557,47.012338213,157,107,grswo
1986,41.226235378,41.738395602,38.296571565,45.719324425,153,104,grswo
1987,37.084270641,40.548719539,37.670968533,43.944103986,153,91,grswo
1988,40.823236005,39.938060408,37.079535513,43.044858313,141,93,grswo
1989,40.660639538,39.731844294,36.791388403,42.966208125,151,92,grswo
1990,38.186161241,39.822177732,36.818320572,42.909172071,156,94,grswo
1991,40.835575779,40.297837846,37.252958401,43.170740369,164,111,grswo
1992,42.32044766,40.91073037,38.379608967,43.29996209,166,111,grswo
1993,42.008178414,41.540453048,39.304622495,43.509644804,178,124,grswo
1994,40.461784616,42.507425103,40.50455317,44.070837666,1400,494,grswo
1995,43.689326895,44.214000995,42.10086858,45.886275928,1552,587,grswo
1996,48.566039061,46.515880827,44.3159815,48.345015584,1636,638,grswo
1997,48.361568917,49.129825398,47.130255799,51.120115657,1861,722,grswo
1998,52.35486865,52.23089039,50.25103189,54.582222182,1956,784,grswo
1999,54.892336952,55.934494227,53.65686308,58.383929917,2044,863,grswo
2000,61.062716287,60.268844143,57.751955887,62.820013018,1963,854,grswo
2001,,,,,,,grswo
2002,70.151764966,70.221450049,66.610967005,73.174598251,1757,770,grswo
2003,74.958866153,75.795891863,71.890139325,79.067203885,1848,864,grswo
2004,80.887390711,81.697888455,77.635394713,85.512333522,2018,987,grswo
2005,89.525357657,87.575002289,83.599012092,91.880301792,2309,1181,grswo
2006,91.12281882,92.933568759,88.817175379,97.19493445,2659,1432,grswo
2007,99.278981712,97.623604414,93.435823881,101.92388329,2992,1638,grswo
2008,101.32841807,101.25380954,96.524308218,106.24532251,2765,1551,grswo
2009,101.59116515,103.75700655,98.849644705,108.39742215,2763,1541,grswo
2010,109.76791285,105.05195059,100.01838753,109.12769049,2714,1585,grswo
2011,103.80740334,104.80045438,99.937355866,109.03754903,2579,1516,grswo
2012,102.75469704,103.70628363,99.112063163,108.0466406,2815,1570,grswo
2013,101.42080246,102.45941555,97.843846441,106.86308325,2951,1651,grswo
2014,101.32188993,101.36250173,96.548762519,105.83159822,2864,1620,grswo
2015,103.42665647,100.37673667,95.487986599,104.82688526,2956,1696,grswo
2016,95.311318693,99.585978394,94.840670181,104.10236781,2986,1664,grswo
2017,98.312622981,99.597179765,94.950419035,103.9708668,3037,1718,grswo
2018,104.42957124,100,95.342803074,104.73654801,3045,1784,grswo
2019,98.437631952,100.05347781,94.971579592,105.25038211,2926,1693,grswo
