year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1976,326.64458306,326.59390072,274.75116077,414.38594473,24,15,housp
1977,304.41293777,317.56058163,276.3018628,396.89726674,36,26,housp
1978,304.21123425,307.72867665,267.73779852,372.72278662,50,36,housp
1979,322.90760664,292.81091704,254.60310183,351.53264222,59,41,housp
1980,273.38619462,268.69906162,233.86815041,316.8084082,53,36,housp
1981,245.5618879,238.84300286,206.88112197,280.38558509,54,39,housp
1982,194.52707881,210.14749675,183.40884652,239.88993012,51,35,housp
1983,160.12994301,190.50855642,165.62122883,217.1621859,60,38,housp
1984,188.44942448,182.46609733,155.36912633,208.84236311,55,37,housp
1985,179.80548267,180.40529768,149.53607167,206.23539103,57,39,housp
1986,205.76322381,178.2732844,147.68263067,206.09674016,63,43,housp
1987,161.83749379,171.9493032,146.1184013,198.26914908,69,50,housp
1988,164.50416493,163.48364754,139.5803376,186.96875127,73,57,housp
1989,150.7519453,154.18440605,133.28885848,174.32237922,76,56,housp
1990,143.82347761,144.77132691,126.97229687,161.14429649,77,57,housp
1991,145.79120925,135.11498281,119.27971949,148.27093951,84,59,housp
1992,120.60527977,125.30060775,111.31873319,135.53639716,81,63,housp
1993,108.87481594,117.71785889,105.1648666,127.16133899,86,57,housp
1994,111.41279945,113.7025931,99.295461168,125.74932184,1111,865,housp
1995,115.65078808,111.95697662,97.213070689,124.69676183,1253,965,housp
1996,115.24972972,110.29350795,95.320523699,124.2328095,1334,1040,housp
1997,109.54216001,107.60917357,92.756943568,121.03897223,1546,1183,housp
1998,101.64834312,104.38349413,89.58360411,117.57795709,1582,1201,housp
1999,100.18462594,101.71484868,87.799184689,114.06881469,1638,1257,housp
2000,99.765150072,100.04639472,86.503287286,112.4649899,1580,1183,housp
2001,,,,,,,housp
2002,98.624305276,99.045044347,85.383971204,111.36470983,1442,1075,housp
2003,97.680758501,99.088348984,85.355643975,111.46150466,1506,1118,housp
2004,101.18181926,98.857178325,85.419517344,110.92962662,1625,1223,housp
2005,102.68480386,97.593941266,84.024498764,109.65874841,1886,1418,housp
2006,95.788195942,95.348230946,81.638830573,106.71522486,2204,1603,housp
2007,89.359387377,93.607696173,79.990452987,104.43759627,2437,1749,housp
2008,89.654080557,94.021798571,79.976506985,105.70514824,2241,1608,housp
2009,91.119954071,96.939175116,81.929070653,108.9342067,2239,1581,housp
2010,104.73056172,100.99618077,84.843651589,113.36884279,2225,1570,housp
2011,113.83675269,103.34248138,86.533748969,115.92143189,2120,1568,housp
2012,104.57982054,102.34721292,85.430086821,115.47870984,2293,1631,housp
2013,94.306690473,99.360576698,82.730458468,111.79493772,2329,1648,housp
2014,94.83005286,96.626322215,81.366781923,108.49808133,2273,1662,housp
2015,95.873027988,95.158367986,80.29452885,106.86042688,2344,1725,housp
2016,91.695571472,95.254074681,80.396235924,107.51813739,2380,1710,housp
2017,99.234992244,97.055598508,81.954655242,109.50277353,2422,1772,housp
2018,97.871512418,100,85.049916848,111.86777171,2439,1820,housp
2019,106.12713192,103.71277527,88.967228223,116.12695835,2333,1743,housp
