year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,374.81674916,383.13052033,216.02560474,636.52707161,27,15,houma
1967,396.19615618,394.85143582,230.05191825,601.46711807,31,19,houma
1968,381.75832259,403.35208022,243.80563908,605.76087531,34,19,houma
1969,474.58926305,404.33639854,238.46580654,597.07998488,36,19,houma
1970,405.54714253,392.52791897,233.5422039,592.70718792,37,21,houma
1971,317.50699874,380.72513035,232.13152602,562.27436144,39,20,houma
1972,348.54971494,385.64831127,236.28638165,538.70996542,41,19,houma
1973,397.04479509,405.64323143,237.92504845,516.45891729,42,19,houma
1974,526.02350263,424.44565737,243.44793322,519.98041384,47,19,houma
1975,388.41873014,427.78739307,249.28844147,509.38540783,48,22,houma
1976,449.7777733,425.17476872,250.03264576,495.20825568,46,24,houma
1977,351.25368163,424.03791195,248.09735016,500.42160281,50,20,houma
1978,444.03810905,430.89530536,245.14658708,524.47898137,53,24,houma
1979,550.92522087,435.45407451,226.15673948,553.81943653,47,23,houma
1980,312.092628,433.74129212,191.81702729,577.73320666,43,20,houma
1981,416.36586057,445.22911485,169.97091839,656.4879988,42,23,houma
1982,475.10335538,462.85238232,158.97592123,710.84540143,43,21,houma
1983,508.90970949,464.6281042,155.05672542,738.5121089,37,19,houma
1984,577.11784529,432.84741531,151.69312366,666.83227164,33,12,houma
1985,256.8884581,371.93747819,173.81010846,537.75559147,35,15,houma
1986,262.44489624,319.91712497,196.83171428,430.03313674,36,16,houma
1987,261.85765308,290.03192333,183.99203917,404.77315806,38,16,houma
1988,347.55118806,270.77312961,156.89378794,390.5776657,37,19,houma
1989,271.51461408,244.43591203,143.42592242,351.53851805,37,17,houma
1990,196.54534162,213.6182638,112.52131513,324.64193318,33,18,houma
1991,112.1551281,192.06554333,98.528090793,313.9835904,35,12,houma
1992,239.74846626,185.48711781,82.740861415,319.48695689,35,21,houma
1993,193.33514542,180.85285679,76.777655722,321.90592609,41,18,houma
1994,160.88983009,175.0590604,77.723469031,322.45498642,1047,466,houma
1995,170.03743225,170.97453403,79.395431773,322.53749799,1168,533,houma
1996,170.62056762,168.47379612,75.871811558,317.82385382,1245,586,houma
1997,174.45812502,166.38503934,73.874139156,319.0626868,1443,639,houma
1998,150.28198006,164.57961108,73.544237001,320.84583276,1484,616,houma
1999,170.06505208,164.26515526,74.230880992,319.79247277,1547,677,houma
2000,172.48928818,163.77539239,72.934294054,319.8898986,1507,714,houma
2001,,,,,,,houma
2002,143.81653896,162.97706429,75.09232925,316.6608322,1399,610,houma
2003,164.58649454,166.37493321,75.074478768,318.9193924,1460,676,houma
2004,180.50238238,169.10954329,74.767189526,321.94499788,1574,752,houma
2005,183.46035395,166.49408551,72.054222221,318.16735189,1805,820,houma
2006,151.4821608,157.87218525,67.86159601,303.00825946,2091,968,houma
2007,140.20105594,147.4219235,63.91585914,285.07756699,2296,965,houma
2008,142.10404072,138.27214747,61.130418662,270.69607755,2114,931,houma
2009,119.26894727,131.46569596,58.743035577,256.70279698,2126,842,houma
2010,126.25597158,127.77405189,56.903680202,247.84593792,2110,791,houma
2011,137.52979408,124.88541222,55.409194613,242.96572335,1991,795,houma
2012,127.12321676,120.11480125,53.314605974,232.05074561,2148,844,houma
2013,101.64038533,114.49709299,50.465130061,221.68101266,2192,841,houma
2014,106.84496999,110.91298156,48.288217698,216.5179371,2132,786,houma
2015,113.04254302,109.02630544,47.807554519,212.75736717,2191,846,houma
2016,112.17827312,106.83480098,46.994181354,207.99744057,2218,843,houma
2017,106.28105383,103.48666253,45.790964582,201.96221334,2241,889,houma
2018,89.260049374,100,45.221516676,192.01878307,2242,785,houma
2019,102.73958838,97.776472339,45.429515682,187.44595645,2146,774,houma
