year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,39.996361632,41.829803868,30.034103596,54.568071431,56,40,jackd
1967,42.98442265,41.927076939,30.249448741,53.704498371,70,48,jackd
1968,45.543620725,41.364656408,29.578371701,51.690183901,71,46,jackd
1969,38.327338435,40.040704571,28.539475488,50.577576256,76,49,jackd
1970,36.04382088,38.918881431,28.292270023,48.92202654,91,55,jackd
1971,39.478551917,38.594658678,28.36393219,48.429198362,89,60,jackd
1972,37.36142337,38.845487033,29.10785638,48.64130416,89,58,jackd
1973,40.824188898,39.394178311,29.952388212,48.059438249,88,56,jackd
1974,40.932552938,39.723217691,29.999658394,48.107068961,88,53,jackd
1975,40.093902099,39.676362363,30.68914056,47.940224149,101,53,jackd
1976,38.877805543,39.540881892,30.608472902,48.015832334,113,60,jackd
1977,40.994557893,39.751095168,31.124386691,48.483762148,131,83,jackd
1978,37.782020458,40.675552601,32.66068178,49.874917001,144,82,jackd
1979,43.82422808,42.776832242,34.340087016,52.091669568,141,86,jackd
1980,43.449614669,45.901609062,37.19441067,55.987428372,134,77,jackd
1981,49.661759365,49.819866421,41.34525769,61.026467388,135,83,jackd
1982,55.768764298,53.709872915,44.870836534,64.931681445,137,89,jackd
1983,59.061610569,56.681857773,48.02830732,67.482929404,134,94,jackd
1984,55.902548288,58.539839006,50.174147992,68.379065799,125,87,jackd
1985,59.350303263,59.681003884,52.681996651,68.049341742,120,80,jackd
1986,62.69940685,59.938595681,53.373141042,67.064414766,122,80,jackd
1987,59.641303812,59.066290722,53.681147866,64.614065605,124,84,jackd
1988,57.016860684,57.566643819,52.858799924,62.576547122,120,85,jackd
1989,53.15363952,56.241499613,52.009483985,61.019585042,123,86,jackd
1990,58.33935036,55.580084162,51.219554794,60.014401349,123,88,jackd
1991,54.203116958,55.39875042,51.171688303,59.834632425,124,89,jackd
1992,55.36807872,55.961920316,51.511291079,60.53855496,124,89,jackd
1993,57.115844621,57.360382394,53.095396354,62.370128061,125,81,jackd
1994,59.854386313,59.431781489,55.265371806,64.720663195,1494,937,jackd
1995,61.957812799,61.937505741,56.880220585,67.241224324,1638,1025,jackd
1996,64.148925917,64.736218284,59.278108348,70.351667847,1791,1121,jackd
1997,67.194871848,67.681045104,62.191296848,73.534608553,2048,1367,jackd
1998,70.306260189,70.438347275,64.971102881,76.221670202,2152,1419,jackd
1999,75.228715763,72.497736678,66.844031111,78.772969817,2255,1511,jackd
2000,73.72474268,73.462704406,67.316989992,79.749154212,2161,1493,jackd
2001,,,,,,,jackd
2002,72.25562485,73.707564519,67.496191882,79.805351164,1985,1346,jackd
2003,75.606373613,74.083699706,67.440145821,80.439911744,2097,1451,jackd
2004,69.750141488,75.022874419,67.5388647,81.771129345,2267,1596,jackd
2005,83.163920056,76.707380212,68.57739455,83.892515589,2601,1826,jackd
2006,74.632008387,78.449605316,71.174289269,85.426114675,3006,2124,jackd
2007,81.676881185,80.672284735,74.163115746,87.42591079,3388,2371,jackd
2008,82.759856981,83.28004488,76.879761433,90.090540178,3132,2246,jackd
2009,86.274730268,86.156321473,79.54372979,93.316694345,3133,2281,jackd
2010,86.95044945,89.121008091,81.796524265,96.874592128,3069,2236,jackd
2011,93.82800867,91.846902976,84.128130974,99.816240456,2892,2157,jackd
2012,97.460488386,93.570070591,85.581799491,101.8779746,3187,2402,jackd
2013,91.000001655,94.166429993,86.231623012,102.34330933,3354,2537,jackd
2014,93.948471073,94.465706097,86.539452294,101.98424025,3241,2506,jackd
2015,99.884097895,94.681106339,86.98767038,101.75142181,3306,2612,jackd
2016,90.01255902,95.023690099,87.296109605,102.56695847,3388,2657,jackd
2017,96.628552508,96.718514662,88.997621459,104.7600791,3448,2770,jackd
2018,96.641691755,100,91.686976526,108.97356095,3458,2753,jackd
2019,108.20299544,104.52341721,95.259768827,115.10026263,3346,2714,jackd
