year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,44.013405862,45.926476142,33.45573585,57.757661861,90,53,lotti
1967,54.927930242,48.060120677,35.9502254,59.718495175,106,70,lotti
1968,49.24177149,49.887871902,38.482588955,62.172788647,111,59,lotti
1969,49.49600886,52.883563366,40.862178926,65.588406953,116,66,lotti
1970,52.339792526,58.58046445,46.795045346,71.84474695,135,72,lotti
1971,64.787599916,67.155942438,55.123468197,80.475326282,141,92,lotti
1972,74.173395847,76.74932512,64.793511119,89.04244095,136,95,lotti
1973,91.266770815,84.286483219,73.516330508,96.990488215,134,103,lotti
1974,95.55343375,86.315664065,75.796580633,98.142002435,145,114,lotti
1975,90.042794537,81.679540385,71.735417847,92.570447833,163,132,lotti
1976,60.64137745,72.69029702,63.953222191,82.712289821,175,111,lotti
1977,62.111809202,63.69306841,56.338143776,73.021164646,190,123,lotti
1978,61.908559389,56.285377966,50.106324829,63.659557627,200,142,lotti
1979,40.207890765,51.218792711,46.06187997,57.724852314,205,116,lotti
1980,50.939054969,49.901737455,45.149461398,55.590995716,199,120,lotti
1981,52.536751772,51.26243641,46.883805379,56.741952,199,133,lotti
1982,48.446255145,53.858420545,49.251308406,59.321736868,189,116,lotti
1983,66.029413283,56.295149712,51.561392159,61.575120711,181,132,lotti
1984,58.602067383,56.472162285,51.4211582,61.39616157,159,115,lotti
1985,61.055518236,54.654531342,49.842722575,59.194295858,152,105,lotti
1986,44.672113179,52.7430694,48.608736495,57.149951264,152,79,lotti
1987,45.534992331,53.943133432,49.30408675,57.853957353,149,91,lotti
1988,56.291656201,59.185028675,54.272387285,63.011690949,144,98,lotti
1989,70.208820824,66.440257732,61.306589031,70.359216275,156,118,lotti
1990,85.059102297,72.604659303,67.480410803,76.548866478,157,128,lotti
1991,71.162259072,76.208514608,71.110083574,80.700845769,167,122,lotti
1992,75.195661642,79.002520126,73.838456946,83.86399919,169,131,lotti
1993,78.180063514,81.971915407,76.487413867,87.297003438,179,142,lotti
1994,88.555923379,84.505299916,78.988700789,90.203257208,1221,587,lotti
1995,96.722372508,85.001156769,80.001500946,90.246181137,1354,637,lotti
1996,77.083498835,83.459008956,78.697409982,88.509676373,1430,641,lotti
1997,75.66152926,82.834732835,78.103392141,87.815212862,1655,665,lotti
1998,80.111785007,84.693999532,79.404771031,90.064725545,1694,712,lotti
1999,91.510766041,87.971845821,82.388642154,93.416201325,1760,792,lotti
2000,99.313234874,90.146153138,84.00135045,95.645976185,1701,841,lotti
2001,,,,,,,lotti
2002,82.47062814,88.736649265,83.021812973,94.210352131,1483,605,lotti
2003,88.164663711,88.122913709,82.208524459,93.604710562,1574,722,lotti
2004,94.571233044,88.018102025,81.95327937,93.821556991,1688,782,lotti
2005,84.166287491,88.373497321,82.27469952,93.686538448,1944,890,lotti
2006,84.738117477,90.603105943,84.042397167,96.126078553,2266,1026,lotti
2007,94.80487735,95.050071832,87.844743965,101.37120236,2496,1152,lotti
2008,104.45416566,100.20567991,92.764752608,106.78949037,2313,1169,lotti
2009,94.801110062,104.38889724,96.217121413,111.00911661,2325,1101,lotti
2010,125.6874704,106.39378836,98.045439612,113.46021987,2302,1342,lotti
2011,100.88746293,104.03190877,96.107313712,110.99590281,2221,1109,lotti
2012,104.47518093,99.390282706,92.068883366,106.27683827,2375,1241,lotti
2013,79.198662899,95.338864075,88.562790969,101.87372988,2436,1081,lotti
2014,91.359986315,94.817597661,87.405425536,101.58142448,2395,1060,lotti
2015,105.9643954,96.591073305,89.147569381,102.6630828,2486,1337,lotti
2016,98.324456564,98.057341307,90.886620773,104.1246005,2518,1332,lotti
2017,107.08130788,98.89028746,92.295277135,105.0139385,2560,1378,lotti
2018,82.356695529,100,93.138866962,106.54936004,2567,1244,lotti
2019,111.80418437,103.3174844,94.734888712,110.89636392,2464,1354,lotti
