year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,52.583686149,51.194190958,44.73696647,61.092375302,106,88,magpi
1967,49.591701554,50.708919342,44.929855698,59.131444226,125,95,magpi
1968,48.372352775,50.702645785,45.105101803,58.081649351,130,94,magpi
1969,55.022456866,51.203274481,45.495332705,58.164493928,131,99,magpi
1970,51.891801262,51.79955508,45.985009956,58.320427369,149,106,magpi
1971,50.170313386,52.945294994,47.045792955,59.642321689,147,110,magpi
1972,54.846950646,55.188060121,49.441934309,61.143903521,141,110,magpi
1973,57.053640953,58.322475363,53.154631847,64.274417308,135,105,magpi
1974,64.532237443,61.784352381,56.935408247,67.487221202,155,122,magpi
1975,65.831787328,64.832455781,60.229324621,70.16132476,187,150,magpi
1976,66.234032314,67.436908974,62.975509337,73.230248851,200,161,magpi
1977,69.79009212,69.935544262,65.454567189,75.36047232,221,188,magpi
1978,72.574272563,72.403623236,68.216757421,77.97697735,238,193,magpi
1979,76.577511821,74.809323489,70.826967663,79.850245519,246,206,magpi
1980,76.410452659,77.27377109,73.293585904,82.160859423,245,202,magpi
1981,78.453823681,80.341381909,76.528977732,84.993213206,244,207,magpi
1982,84.636261461,84.31954303,80.308356432,88.915162256,232,196,magpi
1983,89.444871587,88.978453209,84.852641788,93.229280347,226,197,magpi
1984,90.020420902,94.078076341,89.531369299,98.322370756,194,165,magpi
1985,102.7551887,99.253961048,94.816679769,103.41983648,190,165,magpi
1986,105.76902824,103.32806284,98.560122963,107.30241624,184,154,magpi
1987,104.27296295,105.94423979,101.17069861,109.82359013,178,152,magpi
1988,108.86669247,107.51554706,103.031178,111.55974166,174,158,magpi
1989,107.73661741,108.26310261,103.77861979,112.10402869,179,164,magpi
1990,107.33193077,108.62078235,104.30754121,112.3212951,176,158,magpi
1991,106.39292893,108.88687548,104.93001596,112.21686083,185,165,magpi
1992,113.24891345,108.81724121,105.23711502,112.31828561,184,156,magpi
1993,111.3825749,107.71440232,104.20404737,111.58938524,191,157,magpi
1994,101.04968897,106.13487202,102.24964721,109.67596551,1548,1190,magpi
1995,104.1735558,105.56527283,101.64420004,109.34974744,1697,1313,magpi
1996,104.31114769,106.293744,102.40743866,110.16480423,1845,1449,magpi
1997,111.02955464,107.77017294,103.58900838,111.6887286,2103,1639,magpi
1998,107.99506266,109.0422129,104.78643988,112.66258099,2224,1768,magpi
1999,109.25626551,109.8214882,105.38195994,113.28663818,2326,1865,magpi
2000,113.56246887,109.72047368,105.2290908,113.0120482,2221,1764,magpi
2001,,,,,,,magpi
2002,104.53556838,106.4512725,102.1326918,110.118948,2002,1576,magpi
2003,104.49768027,104.67087955,100.43586714,108.27326575,2108,1642,magpi
2004,101.74111921,103.28380369,98.865257838,106.84262029,2287,1771,magpi
2005,105.18714121,102.25254541,97.923453322,105.77512224,2612,2062,magpi
2006,99.232236488,101.31341076,97.149826587,104.93058185,3005,2323,magpi
2007,101.14096002,100.74106789,96.510764545,104.26630087,3327,2559,magpi
2008,101.6561383,100.4791071,96.360111988,103.70910271,3071,2368,magpi
2009,98.557510532,100.51725701,96.429203293,103.91433895,3059,2367,magpi
2010,100.37980387,101.0541198,97.009504276,104.69146907,3019,2331,magpi
2011,103.29550661,101.80156918,97.805978679,105.37122315,2870,2264,magpi
2012,103.78197852,102.26162327,98.4323649,105.94019238,3128,2443,magpi
2013,98.552063401,102.3888951,98.596245501,106.21133354,3279,2533,magpi
2014,105.8046817,102.38603206,98.487181832,106.27717089,3187,2555,magpi
2015,103.27354601,101.7651364,97.496243988,105.56290839,3227,2609,magpi
2016,98.004675759,100.79107792,96.657182958,104.64411633,3334,2625,magpi
2017,100.58437468,100.17097791,95.888277242,104.13829591,3381,2691,magpi
2018,98.702343276,100,95.631557058,103.78776421,3377,2654,magpi
2019,101.39055597,100.21205697,96.024335291,104.02325377,3259,2593,magpi
