year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,66.145875138,68.312768084,63.578863454,74.216982032,156,153,robin
1967,70.491960726,68.618810384,64.092402004,74.413062117,182,175,robin
1968,72.121616249,68.186546339,63.612464202,73.854895896,187,180,robin
1969,66.923795614,67.03584403,62.569289592,72.337766397,179,173,robin
1970,62.122377624,66.347709237,62.107445163,71.446992952,196,187,robin
1971,63.925427118,67.254154562,63.096108586,72.457027202,201,195,robin
1972,71.370079697,69.537585899,65.285647687,74.675035953,189,182,robin
1973,72.128010405,71.938270965,67.738018753,77.013663716,181,177,robin
1974,74.583552544,73.474530569,69.673566871,77.855550074,200,195,robin
1975,77.616766702,73.41019524,69.66631451,76.855642603,233,228,robin
1976,70.663853497,71.595085316,68.237253184,75.003486524,243,235,robin
1977,70.016060649,69.007164854,66.054787192,72.183186813,260,254,robin
1978,64.258562904,66.723288514,63.518127809,69.585866263,274,268,robin
1979,59.102854008,65.862747236,62.816088865,68.991236511,289,280,robin
1980,68.233110574,66.509185541,63.285090757,69.812925573,283,273,robin
1981,77.341127086,66.903145511,63.661611211,70.220835879,284,277,robin
1982,57.545712968,65.986692389,62.894799933,69.078900641,264,253,robin
1983,66.053380857,65.026297085,62.363311093,67.845332663,254,246,robin
1984,69.165322057,63.809002273,61.360426583,66.37587292,225,220,robin
1985,60.607781988,62.189766874,59.918623469,64.32110319,218,209,robin
1986,59.563893577,61.408205223,59.363465728,63.255973587,209,200,robin
1987,56.758154084,62.517107309,60.650201182,64.273117691,201,189,robin
1988,64.847464675,65.592777979,63.736076969,67.429874259,196,190,robin
1989,75.16866474,69.011389901,67.220956773,70.77396145,205,202,robin
1990,78.744178676,70.977749886,69.250507117,72.869328983,205,202,robin
1991,63.855795736,71.796513692,69.966033629,73.722041032,213,209,robin
1992,67.656056481,73.715083702,71.756549398,75.422413378,210,204,robin
1993,80.30297897,76.986817462,75.073101295,78.521868088,226,222,robin
1994,81.543061521,79.950297593,77.983031849,81.81087362,1709,1505,robin
1995,88.303900322,81.527839712,79.358103602,83.563921924,1867,1673,robin
1996,81.8941523,81.734023638,79.64081963,83.984235832,2027,1790,robin
1997,71.998777942,82.497969892,80.518831255,84.677923861,2294,2047,robin
1998,85.110914919,85.544281287,83.275536291,88.03256205,2403,2136,robin
1999,90.754174957,89.793136497,87.267851185,92.340218008,2492,2270,robin
2000,99.347198537,93.416893134,90.567604727,95.956764405,2370,2180,robin
2001,,,,,,,robin
2002,95.428180195,95.595055185,92.657427716,98.644282329,2113,1943,robin
2003,95.904200635,95.391145333,92.432257705,98.429748103,2223,2038,robin
2004,92.57952207,95.397703082,92.476837554,98.559659453,2419,2236,robin
2005,94.600262704,96.354623513,93.382371177,99.575378961,2760,2556,robin
2006,95.27877223,98.171552312,95.046854363,101.39468339,3192,2922,robin
2007,101.14638815,99.913662969,96.861453352,103.05100122,3620,3328,robin
2008,107.10007835,99.843829179,96.861217886,102.94704861,3334,3083,robin
2009,102.11015921,96.841564138,93.861898365,99.727899011,3325,3079,robin
2010,91.303576663,92.143391873,89.229406584,94.976016879,3229,2926,robin
2011,77.485763417,88.809727894,86.128869282,91.609625152,3042,2747,robin
2012,89.222903707,89.276369475,86.738374016,91.890283909,3357,3051,robin
2013,91.510587541,92.91467293,90.563957402,95.510223658,3558,3240,robin
2014,97.288551966,98.237357049,95.69248685,101.13041487,3433,3191,robin
2015,104.35857874,103.31802555,100.48744579,106.45401167,3485,3296,robin
2016,112.74322777,105.95436768,103.02930348,109.11409714,3579,3390,robin
2017,110.48708089,104.60767803,101.76533759,108.0198657,3663,3459,robin
2018,93.482185425,100,97.102678847,103.13116475,3675,3401,robin
2019,93.104635519,94.431647024,91.832328038,97.455225118,3550,3308,robin
