year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,182.25988719,190.88116875,173.66755953,206.15940065,154,150,sonth
1967,203.65761336,197.11053467,178.77754859,212.47881517,180,177,sonth
1968,203.7954379,200.34237093,182.38636783,215.01523413,186,184,sonth
1969,208.98874875,199.5457198,181.94308128,214.11528353,177,173,sonth
1970,184.86198025,195.66687671,179.08019273,208.34102132,197,191,sonth
1971,188.74754838,191.67038581,177.22000978,203.03124148,202,195,sonth
1972,191.60874601,188.08595204,175.7269669,198.44287437,189,185,sonth
1973,174.51072343,184.18447739,172.79766403,193.92367588,178,172,sonth
1974,185.43923548,179.33602278,168.27768592,188.95250471,197,189,sonth
1975,182.01102367,170.98205155,161.02586408,180.98259078,230,226,sonth
1976,158.59902961,158.27362213,148.50641616,167.99435974,239,231,sonth
1977,143.95276025,143.71519305,134.58553793,152.22491767,258,249,sonth
1978,123.45835244,130.64506415,122.58177943,138.1937389,275,267,sonth
1979,110.9708467,122.00936475,115.13723495,128.49306353,289,268,sonth
1980,118.6541964,118.13040621,112.18908014,123.30046708,279,267,sonth
1981,127.68210097,115.95902167,110.1870958,121.3510986,276,265,sonth
1982,106.66469217,112.63046628,106.86501411,117.25798708,258,246,sonth
1983,114.54106133,108.03003777,102.27889299,112.35518774,251,236,sonth
1984,106.6451404,101.66957555,96.279736487,106.29631967,220,207,sonth
1985,89.253538102,94.723131257,90.044118841,98.969681611,212,190,sonth
1986,87.041514815,89.754275843,84.637290432,93.428591164,203,182,sonth
1987,77.47182516,88.02517578,83.029707648,92.193810926,194,166,sonth
1988,91.958680984,89.015029699,83.804553597,93.175240214,191,166,sonth
1989,101.24098461,89.417685975,84.301864232,93.845084266,201,181,sonth
1990,92.975553031,86.792440225,81.730913387,91.23030727,200,180,sonth
1991,73.24983877,82.441797752,77.394599816,87.380180397,209,183,sonth
1992,74.305189401,79.483727919,74.774180102,84.767212814,208,184,sonth
1993,79.833824065,78.663469042,74.080312011,84.184065041,223,196,sonth
1994,81.607643681,78.819771553,74.128240356,84.284019416,1691,1235,sonth
1995,81.478646175,78.943367053,74.550049273,84.857450371,1847,1362,sonth
1996,81.256765388,79.010690197,74.674985468,84.768461927,2010,1479,sonth
1997,72.415286947,80.004972652,75.469090043,85.953002188,2262,1591,sonth
1998,81.293482497,83.170176832,78.405747892,89.166650756,2365,1727,sonth
1999,89.370382071,87.760606298,82.795154746,93.872751734,2456,1844,sonth
2000,95.818384223,92.135783764,87.049405096,98.467215263,2342,1801,sonth
2001,,,,,,,sonth
2002,97.483394549,96.950647246,91.501503809,103.35278022,2100,1644,sonth
2003,99.117977997,97.651280424,92.042659646,104.16579061,2206,1758,sonth
2004,94.774468193,97.813149158,92.086171453,104.2833429,2400,1900,sonth
2005,98.11383096,98.168229638,92.25383155,104.50623521,2736,2154,sonth
2006,96.363119707,98.735786631,92.875612718,105.19570614,3154,2533,sonth
2007,97.676815103,99.161629958,93.587138215,105.72304787,3575,2801,sonth
2008,104.09137167,98.359786591,92.793196139,105.02066325,3294,2658,sonth
2009,101.26034729,95.073089498,89.662034,101.57155915,3285,2624,sonth
2010,90.931018389,89.877416756,85.046244021,96.598027131,3187,2492,sonth
2011,76.105529998,85.440799508,80.848100623,92.22753405,3009,2320,sonth
2012,83.064898082,84.502019385,79.893679597,90.975115303,3313,2545,sonth
2013,82.421644628,87.297001175,82.257820306,93.572363357,3501,2684,sonth
2014,94.408416968,92.737472691,87.885151532,99.026013875,3383,2692,sonth
2015,99.791931143,98.456843207,93.396915228,104.94489795,3442,2833,sonth
2016,105.48883544,102.2970796,96.532955212,108.92701483,3537,2992,sonth
2017,112.55415556,102.77707522,97.110100253,109.44819828,3625,3089,sonth
2018,91.934209656,100,94.676774456,106.42074594,3626,2929,sonth
2019,95.467404955,96.340314378,90.948744416,102.85071565,3508,2863,sonth
