year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,877.39586832,931.77415223,826.83627948,1101.5544624,80,74,starl
1967,975.86587374,927.10682354,825.88766579,1085.0425099,89,76,starl
1968,942.75511197,904.02791516,796.42732559,1076.9007697,93,83,starl
1969,901.34564927,859.63499405,760.71343674,1016.7213149,92,81,starl
1970,714.97740937,807.30538303,726.56217302,919.61022754,117,99,starl
1971,767.8961173,767.92949029,699.07442814,852.60479514,128,113,starl
1972,767.77185127,740.6606458,681.08189264,824.40390752,114,103,starl
1973,733.76022453,720.31648463,658.18016324,801.74268701,116,103,starl
1974,682.97963855,709.79918381,647.2427391,783.70970811,125,107,starl
1975,689.53146073,715.59799664,660.2777392,790.30706337,139,122,starl
1976,724.00750827,736.24728761,682.49309947,806.22399532,150,133,starl
1977,787.83716479,760.77242308,701.37316043,827.66486264,174,158,starl
1978,794.40022157,775.01677931,709.80607897,837.95654299,186,163,starl
1979,769.94036136,772.48017636,709.04765204,835.12077273,180,155,starl
1980,778.44838823,753.43356827,697.20833527,809.11034573,172,144,starl
1981,722.9781174,720.41951236,670.1081302,772.00088344,167,141,starl
1982,650.96450839,682.62029435,634.41676144,734.41692535,153,124,starl
1983,610.21084228,649.45660943,596.37380167,701.12004685,162,133,starl
1984,662.43093799,619.51425086,560.17198798,670.15482414,134,100,starl
1985,604.7531271,581.71100357,524.54097439,629.0828386,127,98,starl
1986,529.30096838,535.27892809,479.76017042,580.71646109,125,96,starl
1987,481.93465424,488.01576651,430.74126383,530.73418824,132,110,starl
1988,409.57524378,447.25810491,391.1286917,487.79201861,128,93,starl
1989,452.38283268,415.83201343,360.98162792,452.29902405,137,102,starl
1990,360.78171792,388.58473859,333.18939332,426.60208431,133,92,starl
1991,370.92854161,365.71876184,310.64444863,408.54348813,139,102,starl
1992,357.18717369,342.8287721,286.26095501,383.05087253,133,97,starl
1993,344.29647324,316.00004997,264.84104867,359.51302715,132,93,starl
1994,249.58387806,287.35132209,239.43471461,331.17967607,1259,1052,starl
1995,266.64149262,264.95759079,219.76110319,305.19094114,1403,1187,starl
1996,244.95690937,248.86011967,207.51388324,285.678765,1498,1229,starl
1997,252.65169251,236.78238961,194.95237434,269.91771677,1715,1387,starl
1998,204.9346386,226.57661586,186.98823149,256.58452483,1759,1406,starl
1999,233.50748404,218.61163229,180.66744319,248.80048603,1825,1485,starl
2000,210.80682544,209.55401183,172.86043782,238.30254948,1758,1412,starl
2001,,,,,,,starl
2002,197.19772875,186.54934338,153.40740483,212.90811453,1576,1255,starl
2003,165.20676145,174.56724781,144.37945738,199.13901848,1648,1238,starl
2004,148.19073241,166.3065368,137.87803979,190.3389716,1793,1338,starl
2005,171.14589396,162.36981155,134.32783604,184.99833688,2050,1558,starl
2006,158.77538756,158.51329317,131.29599458,182.0736116,2426,1725,starl
2007,165.6655396,151.63770356,126.09893623,174.42983959,2686,1943,starl
2008,146.07934803,140.22625682,115.90736595,161.04243436,2487,1742,starl
2009,113.18449505,126.89061655,105.52571781,145.24803074,2489,1658,starl
2010,116.08957609,115.81709541,96.510788856,132.34422433,2452,1572,starl
2011,107.12480127,107.96105283,89.096848323,123.33139488,2304,1451,starl
2012,98.776108211,103.38533888,85.106625682,118.01886039,2526,1590,starl
2013,101.46246108,101.64315377,83.008690425,116.30213759,2570,1562,starl
2014,108.79568568,100.99702138,82.263371752,115.38015803,2469,1596,starl
2015,100.59132628,99.873117584,81.934348038,115.00009005,2552,1629,starl
2016,95.397882505,98.802904742,81.122890452,114.35474615,2576,1598,starl
2017,98.471184279,98.799943178,80.585337201,114.14972649,2612,1664,starl
2018,97.923918458,100,81.076457567,115.1162917,2624,1606,starl
2019,104.66443924,102.08794914,83.143743529,119.20325499,2520,1578,starl
