year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1994,253.15207397,248.75503351,223.88737407,275.49304764,1330,719,swift
1995,249.61922234,236.52841665,217.80404995,253.68095509,1476,771,swift
1996,200.13042613,226.71325133,214.7847339,238.66943822,1625,789,swift
1997,210.08286755,223.29594168,215.03365635,233.08185773,1860,832,swift
1998,228.70449366,223.75952728,210.79450337,239.46169461,1977,968,swift
1999,261.9713663,221.03636293,204.01578012,240.86743481,2082,995,swift
2000,198.94402128,210.96073984,194.47391392,227.79020139,2028,969,swift
2001,,,,,,,swift
2002,171.68662678,189.9377278,180.98752021,197.4523498,1944,868,swift
2003,175.61193262,187.08050929,180.16174373,193.36251125,2043,937,swift
2004,195.47038933,188.32632025,182.15456979,193.5649871,2213,978,swift
2005,205.60859754,188.15410033,182.62937625,193.60484858,2499,1213,swift
2006,192.3868738,183.15423146,177.70312726,189.17588445,2873,1334,swift
2007,155.69478192,175.18282376,170.09960119,182.50695985,3161,1260,swift
2008,165.10843697,168.22788459,162.16537485,176.10813997,2932,1346,swift
2009,175.45687358,161.8887002,155.38093395,169.62826259,2945,1264,swift
2010,153.85520792,154.64062379,148.9717145,160.97468379,2884,1107,swift
2011,128.52764451,148.03603421,141.79965804,153.52426532,2718,1048,swift
2012,154.45521658,143.07248836,135.40871797,149.62746199,2985,1167,swift
2013,147.86757849,136.62778936,128.12126486,143.49377279,3123,1166,swift
2014,121.64126653,127.8561356,118.8641687,134.35682797,2989,1151,swift
2015,117.31058182,118.97403947,111.30009124,125.36366075,3032,1076,swift
2016,107.88044187,111.26434942,103.85246569,117.12227203,3097,1116,swift
2017,111.67111339,105.01702438,98.173514543,111.48966167,3145,1199,swift
2018,89.056590956,100,93.459791186,107.17511567,3116,1027,swift
2019,103.3273924,96.731962746,88.953050608,105.88848792,3005,999,swift
