year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,33.044111494,33.983920384,18.820849692,52.379147163,20,19,woodp
1967,34.154277628,39.314525264,20.3897601,65.213600959,20,17,woodp
1968,48.870981119,43.928658521,21.342570602,75.998857054,17,11,woodp
1969,51.165185467,46.068312747,23.203749375,78.867991331,19,15,woodp
1970,42.980754163,45.282879111,24.793581675,75.657767542,16,11,woodp
1971,45.631743002,42.649532014,26.519904542,66.297613078,21,14,woodp
1972,37.118328942,39.170514197,26.427440061,55.970727979,21,15,woodp
1973,34.147163059,36.350604536,26.084427549,48.710203888,26,23,woodp
1974,35.295358422,35.201636823,26.932814373,44.216981993,32,21,woodp
1975,32.63577054,36.020756025,28.446292204,43.914391631,43,32,woodp
1976,39.100226123,38.759212214,32.091557473,45.910228454,58,51,woodp
1977,42.55628348,42.498784148,35.673601851,49.963561647,82,73,woodp
1978,48.729999575,46.190985829,40.1108638,53.619939488,97,86,woodp
1979,51.485442117,48.993667385,43.136565428,55.704085614,122,108,woodp
1980,48.816002254,50.907620198,45.592370111,57.13390119,125,113,woodp
1981,51.375062662,52.624590385,47.699957744,58.459272806,138,123,woodp
1982,55.453999598,54.363663894,49.924035169,59.237423592,124,111,woodp
1983,55.730197621,55.945894009,51.349443116,61.305275483,130,114,woodp
1984,58.053551636,57.384478423,52.486691516,62.003970009,127,108,woodp
1985,60.697282708,58.752101742,54.1009546,63.444588989,120,101,woodp
1986,56.036069112,60.413752027,55.44526867,64.436971449,131,108,woodp
1987,61.871406111,63.004583739,57.772852343,67.41385303,133,120,woodp
1988,68.639094133,66.051866062,60.765850703,70.443194763,135,121,woodp
1989,68.578303973,68.663354687,63.276742598,72.967104723,131,117,woodp
1990,71.752820278,70.55258499,65.480417809,74.607232537,146,134,woodp
1991,71.269982886,71.661802523,66.332768001,75.798893058,150,138,woodp
1992,73.896606186,72.220135428,66.570810299,76.265014443,157,145,woodp
1993,68.331046269,72.543586452,67.084069723,76.660345966,172,163,woodp
1994,78.766066236,73.087584926,67.593158431,77.453208882,1650,1520,woodp
1995,69.189623406,73.677595928,68.526002572,77.983824286,1822,1709,woodp
1996,74.898120013,75.06881123,69.971410219,80.083420117,1989,1873,woodp
1997,76.863043206,77.190812718,71.953353801,82.372095551,2258,2117,woodp
1998,80.800301066,79.608381153,73.973283976,84.907684381,2367,2225,woodp
1999,82.025563137,81.867067102,75.885315367,87.275176056,2460,2332,woodp
2000,84.70867426,83.817504629,77.369232234,89.035254804,2350,2228,woodp
2001,,,,,,,woodp
2002,85.543778888,87.164248842,80.086205845,92.23602887,2132,2026,woodp
2003,91.07221092,89.068000699,81.956168759,94.282476502,2243,2127,woodp
2004,89.270240738,91.134305473,84.031094302,96.662163792,2443,2314,woodp
2005,94.317522674,93.596317752,86.67449659,99.644049991,2783,2664,woodp
2006,95.52286362,96.37332198,89.482170441,102.68475489,3231,3073,woodp
2007,96.103904719,99.395901013,91.965608462,105.64679471,3673,3485,woodp
2008,108.38561686,102.198381,94.268390511,108.17157499,3377,3178,woodp
2009,101.46255854,103.7955228,96.169681035,109.7476901,3375,3197,woodp
2010,106.28623907,104.47087723,96.556323537,110.83931802,3278,3113,woodp
2011,100.75885428,104.41980478,96.209921483,110.60272902,3073,2969,woodp
2012,107.29843668,103.92176097,95.457717969,110.28954815,3405,3230,woodp
2013,105.36906845,102.62911944,94.147017672,109.25604212,3609,3410,woodp
2014,95.350536876,101.02925829,92.631421305,107.2584916,3479,3364,woodp
2015,101.72846419,100.18395831,91.947561944,106.71715133,3536,3413,woodp
2016,98.6183008,99.932224347,91.726923311,106.48955133,3622,3501,woodp
2017,98.505517654,100.05901482,92.133283523,106.28422484,3700,3575,woodp
2018,106.07029043,100,92.161474755,106.31437797,3719,3606,woodp
2019,95.955075448,99.094143537,91.141142297,105.21226486,3595,3479,woodp
