year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres,spcode
1966,36.373654387,41.544407612,37.069968832,45.766232996,157,147,wren.
1967,54.274782106,47.866780522,43.417054656,52.532541977,183,180,wren.
1968,57.80913386,52.55595855,47.728444207,57.408262401,189,186,wren.
1969,56.752786754,56.027839259,51.373475757,60.820390988,181,178,wren.
1970,50.891124739,60.565657115,55.896136143,64.936512162,198,188,wren.
1971,60.960632314,68.351697476,63.418987786,72.874674732,203,200,wren.
1972,79.202732308,78.558532584,72.955524708,83.923508422,193,190,wren.
1973,92.552291504,87.798157558,81.779382695,94.099721804,185,181,wren.
1974,97.546776771,92.678578009,86.832824342,99.642780852,204,202,wren.
1975,104.37114647,91.435183661,85.788621967,98.393238923,235,233,wren.
1976,76.224784511,84.768954428,79.97754733,90.545350792,246,242,wren.
1977,73.34239096,76.569957181,72.660338981,81.384487403,262,256,wren.
1978,77.731698685,69.104898614,65.706879591,72.858115938,275,266,wren.
1979,43.041023626,63.789429734,60.659272896,67.069900468,289,263,wren.
1980,65.660868026,62.737901006,59.702191035,65.914074035,285,277,wren.
1981,78.368480541,63.324685319,60.366188592,66.553170494,286,283,wren.
1982,50.518093025,63.321383062,60.359640735,66.618086579,266,255,wren.
1983,67.696903491,63.83643151,61.161674691,67.214334284,257,252,wren.
1984,72.229968424,63.834718672,61.218264474,66.883358949,226,220,wren.
1985,65.441523577,63.013178562,60.533599727,65.488377768,217,214,wren.
1986,49.241651291,63.713927589,61.507556754,65.908594319,208,199,wren.
1987,61.535860735,68.520337812,66.643751257,70.454426608,203,196,wren.
1988,77.424349999,75.872821554,73.940695661,77.726413381,199,196,wren.
1989,97.419707673,81.501003661,79.686007815,83.427040224,207,204,wren.
1990,94.289029038,82.139002269,80.363669342,84.032788152,206,202,wren.
1991,59.065030159,79.654508621,77.966012079,81.543895714,214,211,wren.
1992,74.020428043,78.829726967,76.866695622,80.843434732,211,208,wren.
1993,86.456285961,79.46980975,77.25708578,81.582274476,227,224,wren.
1994,80.781974823,79.201110453,76.986529319,81.496213107,1766,1581,wren.
1995,91.099191929,77.289875189,74.903545601,79.502679723,1936,1767,wren.
1996,62.311053411,74.801589972,72.293502542,77.020205108,2093,1827,wren.
1997,64.619782297,75.74267672,73.241558521,78.157204228,2362,2055,wren.
1998,80.605663824,80.983026379,78.305404041,83.543808828,2474,2226,wren.
1999,94.682192473,87.58698742,84.788487986,90.420655189,2558,2337,wren.
2000,98.744919277,92.251544084,89.251730252,95.282829417,2430,2271,wren.
2001,,,,,,,wren.
2002,91.056339533,93.899177505,90.453185697,96.681930772,2177,2018,wren.
2003,93.280143357,93.483756681,90.121354989,96.36454669,2302,2132,wren.
2004,89.955234511,93.37003018,89.850879711,96.539267841,2500,2307,wren.
2005,96.278572192,93.742699776,90.296227972,96.993624342,2856,2654,wren.
2006,86.686842732,94.03497697,90.477124621,97.362351919,3311,3025,wren.
2007,98.992480329,93.638976196,90.124012641,97.088640912,3772,3494,wren.
2008,100.93562048,90.520174222,87.228943367,93.878450571,3454,3213,wren.
2009,86.198504844,84.268273501,81.325716582,87.283161254,3450,3147,wren.
2010,74.541152986,77.720290929,75.084749625,80.524786352,3340,2954,wren.
2011,61.472777477,74.705588367,72.032221561,77.486424225,3131,2778,wren.
2012,78.958223929,77.459966691,74.822677133,80.387857087,3484,3133,wren.
2013,76.845656862,84.595958745,81.397941618,87.724751198,3683,3285,wren.
2014,102.58099245,93.731572946,90.429487076,97.18830061,3546,3294,wren.
2015,101.32526663,101.11454914,97.175732602,104.85902336,3592,3373,wren.
2016,110.84539127,104.84088597,100.63634724,108.82290411,3683,3510,wren.
2017,111.87445321,104.04799361,99.614690952,107.87110585,3795,3634,wren.
2018,88.084718934,100,96.021397137,103.98955746,3820,3500,wren.
2019,96.862742447,95.645880893,91.724077063,99.381164902,3706,3451,wren.
