species,scientific_name,spcode,season,habitat,abundance,iucn.y,1996,2002,2009,2015,2021,year,unsm,sm,sm_ll85,sm_ul85,plotcov,plotpres
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1966,36.373654387,41.544407612,37.069968832,45.766232996,157,147
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1967,54.274782106,47.866780522,43.417054656,52.532541977,183,180
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1968,57.80913386,52.55595855,47.728444207,57.408262401,189,186
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1969,56.752786754,56.027839259,51.373475757,60.820390988,181,178
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1970,50.891124739,60.565657115,55.896136143,64.936512162,198,188
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1971,60.960632314,68.351697476,63.418987786,72.874674732,203,200
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1972,79.202732308,78.558532584,72.955524708,83.923508422,193,190
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1973,92.552291504,87.798157558,81.779382695,94.099721804,185,181
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1974,97.546776771,92.678578009,86.832824342,99.642780852,204,202
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1975,104.37114647,91.435183661,85.788621967,98.393238923,235,233
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1976,76.224784511,84.768954428,79.97754733,90.545350792,246,242
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1977,73.34239096,76.569957181,72.660338981,81.384487403,262,256
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1978,77.731698685,69.104898614,65.706879591,72.858115938,275,266
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1979,43.041023626,63.789429734,60.659272896,67.069900468,289,263
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1980,65.660868026,62.737901006,59.702191035,65.914074035,285,277
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1981,78.368480541,63.324685319,60.366188592,66.553170494,286,283
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1982,50.518093025,63.321383062,60.359640735,66.618086579,266,255
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1983,67.696903491,63.83643151,61.161674691,67.214334284,257,252
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1984,72.229968424,63.834718672,61.218264474,66.883358949,226,220
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1985,65.441523577,63.013178562,60.533599727,65.488377768,217,214
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1986,49.241651291,63.713927589,61.507556754,65.908594319,208,199
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1987,61.535860735,68.520337812,66.643751257,70.454426608,203,196
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1988,77.424349999,75.872821554,73.940695661,77.726413381,199,196
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1989,97.419707673,81.501003661,79.686007815,83.427040224,207,204
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1990,94.289029038,82.139002269,80.363669342,84.032788152,206,202
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1991,59.065030159,79.654508621,77.966012079,81.543895714,214,211
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1992,74.020428043,78.829726967,76.866695622,80.843434732,211,208
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1993,86.456285961,79.46980975,77.25708578,81.582274476,227,224
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1994,80.781974823,79.201110453,76.986529319,81.496213107,1766,1581
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1995,91.099191929,77.289875189,74.903545601,79.502679723,1936,1767
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1996,62.311053411,74.801589972,72.293502542,77.020205108,2093,1827
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1997,64.619782297,75.74267672,73.241558521,78.157204228,2362,2055
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1998,80.605663824,80.983026379,78.305404041,83.543808828,2474,2226
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,1999,94.682192473,87.58698742,84.788487986,90.420655189,2558,2337
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2000,98.744919277,92.251544084,89.251730252,95.282829417,2430,2271
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2001,NA,NA,NA,NA,NA,NA
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2002,91.056339533,93.899177505,90.453185697,96.681930772,2177,2018
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2003,93.280143357,93.483756681,90.121354989,96.36454669,2302,2132
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2004,89.955234511,93.37003018,89.850879711,96.539267841,2500,2307
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2005,96.278572192,93.742699776,90.296227972,96.993624342,2856,2654
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2006,86.686842732,94.03497697,90.477124621,97.362351919,3311,3025
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2007,98.992480329,93.638976196,90.124012641,97.088640912,3772,3494
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2008,100.93562048,90.520174222,87.228943367,93.878450571,3454,3213
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2009,86.198504844,84.268273501,81.325716582,87.283161254,3450,3147
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2010,74.541152986,77.720290929,75.084749625,80.524786352,3340,2954
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2011,61.472777477,74.705588367,72.032221561,77.486424225,3131,2778
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2012,78.958223929,77.459966691,74.822677133,80.387857087,3484,3133
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2013,76.845656862,84.595958745,81.397941618,87.724751198,3683,3285
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2014,102.58099245,93.731572946,90.429487076,97.18830061,3546,3294
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2015,101.32526663,101.11454914,97.175732602,104.85902336,3592,3373
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2016,110.84539127,104.84088597,100.63634724,108.82290411,3683,3510
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2017,111.87445321,104.04799361,99.614690952,107.87110585,3795,3634
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2018,88.084718934,100,96.021397137,103.98955746,3820,3500
Wren,Troglodytes troglodytes,wren.,B,woodland,19500000,LC,G,G,G,G,A,2019,96.862742447,95.645880893,91.724077063,99.381164902,3706,3451
Robin,Erithacus rubecula,robin,B,woodland,13300000,LC,G,G,G,G,G,1966,66.145875138,68.312768084,63.578863454,74.216982032,156,153
Robin,Erithacus rubecula,robin,B,woodland,13300000,LC,G,G,G,G,G,1967,70.491960726,68.618810384,64.092402004,74.413062117,182,175
Robin,Erithacus rubecula,robin,B,woodland,13300000,LC,G,G,G,G,G,1968,72.121616249,68.186546339,63.612464202,73.854895896,187,180
Robin,Erithacus rubecula,robin,B,woodland,13300000,LC,G,G,G,G,G,1969,66.923795614,67.03584403,62.569289592,72.337766397,179,173
Robin,Erithacus rubecula,robin,B,woodland,13300000,LC,G,G,G,G,G,1970,62.122377624,66.347709237,62.107445163,71.446992952,196,187
Robin,Erithacus rubecula,robin,B,woodland,13300000,LC,G,G,G,G,G,1971,63.925427118,67.254154562,63.096108586,72.457027202,201,195
Robin,Erithacus rubecula,robin,B,woodland,13300000,LC,G,G,G,G,G,1972,71.370079697,69.537585899,65.285647687,74.675035953,189,182
